"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"19.12.2022","106.554","104.376","107.038","104.182","","1,92%"
"16.12.2022","104.543","105.050","106.010","104.105","123,11K","-1,10%"
"15.12.2022","105.710","104.750","107.630","104.690","213,75K","2,06%"
"14.12.2022","103.574","103.400","103.720","101.640","41,33K","0,20%"
"13.12.2022","103.364","105.090","107.000","103.110","166,12K","-1,79%"
"12.12.2022","105.249","107.130","107.600","103.772","","-2,10%"
"09.12.2022","107.510","107.800","108.700","107.135","112,98K","0,19%"
"08.12.2022","107.309","109.465","109.670","106.990","147,45K","-1,96%"
"07.12.2022","109.458","109.845","110.435","108.760","143,98K","-1,01%"
"06.12.2022","110.570","109.735","110.915","109.410","156,36K","0,86%"
"05.12.2022","109.630","112.760","112.810","109.510","107,61K","-2,37%"
"02.12.2022","112.293","111.700","114.190","110.240","180,93K","0,82%"
"01.12.2022","111.380","112.500","112.665","110.920","136,99K","-1,22%"
"30.11.2022","112.753","112.000","113.075","110.590","180,04K","1,10%"
"29.11.2022","111.529","110.060","112.825","109.760","182,14K","1,97%"
"28.11.2022","109.377","108.600","110.080","107.920","110,78K","-0,14%"
"25.11.2022","109.531","112.450","113.030","109.105","148,75K","-2,73%"
"24.11.2022","112.609","110.305","113.410","110.090","150,57K","2,79%"
"23.11.2022","109.553","109.870","110.155","108.550","171,17K","0,09%"
"22.11.2022","109.452","110.500","111.435","108.575","191,10K","-1,12%"
"21.11.2022","110.690","109.600","111.105","108.725","140,68K","1,05%"
"18.11.2022","109.545","111.335","112.480","109.290","157,36K","-0,79%"
"17.11.2022","110.418","109.145","110.600","108.110","200,43K","-0,56%"
"16.11.2022","111.041","114.000","114.315","110.365","199,45K","-2,70%"
"14.11.2022","114.125","112.945","115.500","112.800","158,07K","0,68%"
"11.11.2022","113.349","111.900","114.265","110.180","279,58K","2,28%"
"10.11.2022","110.819","114.115","114.155","109.535","274,81K","-3,42%"
"09.11.2022","114.746","116.900","117.405","114.260","164,73K","-2,23%"
"08.11.2022","117.359","116.655","118.585","115.240","186,87K","0,68%"
"07.11.2022","116.569","120.000","120.230","116.400","160,50K","-2,47%"
"04.11.2022","119.522","120.115","121.600","118.945","178,52K","0,89%"
"03.11.2022","118.466","115.800","118.965","115.495","190,27K","-0,03%"
"01.11.2022","118.498","117.940","119.900","116.995","261,24K","0,69%"
"31.10.2022","117.683","112.755","118.450","112.510","271,04K","1,16%"
