"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"19.12.2022","5.311,50","5.348,50","5.352,50","5.302,00","2,70M","-0,01%"
"16.12.2022","5.311,79","5.332,00","5.347,50","5.278,00","2,74M","-0,25%"
"15.12.2022","5.325,10","5.347,50","5.365,50","5.298,50","3,28M","-0,02%"
"14.12.2022","5.326,13","5.334,50","5.390,50","5.291,50","3,75M","0,18%"
"13.12.2022","5.316,43","5.341,50","5.356,00","5.262,00","3,73M","-0,49%"
"12.12.2022","5.342,35","5.262,50","5.372,50","5.254,00","3,21M","1,32%"
"09.12.2022","5.272,68","5.254,00","5.307,00","5.240,00","2,52M","0,70%"
"08.12.2022","5.235,86","5.254,50","5.277,00","5.216,00","2,76M","0,18%"
"07.12.2022","5.226,70","5.291,00","5.303,00","5.208,00","3,28M","-1,17%"
"06.12.2022","5.288,63","5.301,00","5.301,50","5.246,00","3,28M","-0,26%"
"05.12.2022","5.302,21","5.234,50","5.320,00","5.229,50","2,67M","1,05%"
"02.12.2022","5.246,96","5.214,00","5.271,00","5.193,00","2,95M","0,40%"
"01.12.2022","5.226,21","5.222,00","5.247,50","5.194,00","3,27M","0,21%"
"30.11.2022","5.215,00","5.266,00","5.316,50","5.215,00","3,81M","-1,30%"
"29.11.2022","5.283,52","5.330,00","5.336,50","5.270,50","3,02M","-1,58%"
"28.11.2022","5.368,15","5.427,00","5.435,50","5.351,50","2,72M","-0,95%"
"25.11.2022","5.419,57","5.323,50","5.430,00","5.310,00","3,15M","1,99%"
"24.11.2022","5.313,84","5.324,00","5.348,00","5.307,00","2,22M","-1,65%"
"23.11.2022","5.402,87","5.352,50","5.420,00","5.352,00","3,36M","0,62%"
"22.11.2022","5.369,36","5.321,00","5.408,50","5.290,50","3,70M","0,91%"
"21.11.2022","5.320,97","5.398,00","5.399,00","5.310,00","3,56M","-1,24%"
"18.11.2022","5.388,00","5.401,00","5.411,00","5.343,00","3,94M","-1,51%"
"17.11.2022","5.470,38","5.514,50","5.548,00","5.403,50","4,21M","1,21%"
"16.11.2022","5.404,80","5.360,00","5.427,00","5.304,50","4,45M","1,32%"
"14.11.2022","5.334,41","5.359,50","5.374,50","5.279,00","3,81M","-0,37%"
"11.11.2022","5.354,35","5.360,00","5.426,50","5.269,00","4,15M","-0,71%"
"10.11.2022","5.392,58","5.264,50","5.435,50","5.262,50","5,27M","3,97%"
"09.11.2022","5.186,79","5.193,50","5.220,00","5.156,00","3,58M","0,31%"
"08.11.2022","5.170,63","5.200,00","5.270,00","5.152,00","4,05M","0,56%"
"07.11.2022","5.141,63","5.086,50","5.199,00","5.070,00","3,58M","1,81%"
"04.11.2022","5.050,37","5.090,00","5.145,00","5.044,00","3,77M","-1,80%"
"03.11.2022","5.142,79","5.220,00","5.254,00","5.115,00","4,09M","0,20%"
"01.11.2022","5.132,28","5.179,50","5.238,50","5.115,00","4,77M","-2,37%"
"31.10.2022","5.257,00","5.400,00","5.411,00","5.244,00","381,69K","-1,22%"
"28.10.2022","5.322,00","5.352,50","5.384,00","5.281,50","3,30M","0,14%"
"27.10.2022","5.314,58","5.393,50","5.396,00","5.244,50","4,14M","-1,00%"
"26.10.2022","5.368,02","5.297,00","5.391,00","5.284,00","3,77M","0,86%"
"25.10.2022","5.322,29","5.298,50","5.362,50","5.281,00","4,11M","0,68%"
"24.10.2022","5.286,37","5.209,50","5.316,50","5.207,50","4,16M","2,18%"
"21.10.2022","5.173,49","5.247,00","5.286,00","5.149,50","4,62M","-1,06%"
"20.10.2022","5.228,87","5.261,00","5.269,00","5.204,00","3,57M","-1,13%"
"19.10.2022","5.288,64","5.290,00","5.311,50","5.267,00","3,37M","0,12%"
"18.10.2022","5.282,30","5.286,50","5.312,00","5.246,50","3,69M","-0,42%"
"17.10.2022","5.304,79","5.290,00","5.319,50","5.269,50","3,11M","-0,79%"
"14.10.2022","5.347,27","5.297,00","5.353,00","5.259,50","3,74M","1,32%"
"13.10.2022","5.277,62","5.280,00","5.403,00","5.250,50","4,41M","-0,31%"
"11.10.2022","5.294,05","5.205,00","5.327,50","5.202,00","3,70M","1,55%"
"10.10.2022","5.213,00","5.215,00","5.241,50","5.187,50","3,08M","-0,46%"
"07.10.2022","5.237,00","5.234,50","5.277,00","5.218,50","3,34M","0,13%"
"06.10.2022","5.230,09","5.225,50","5.258,50","5.202,00","3,73M","0,54%"
"05.10.2022","5.202,00","5.248,50","5.274,00","5.191,50","3,78M","0,08%"
