data,open,high,low,close,vol
2017-11-30,3251.0,3298.0,3246.5,3282.0,906377
2017-12-01,3287.5,3295.0,3258.0,3267.0,849198
2017-12-04,3266.0,3271.0,3250.5,3252.0,538295
2017-12-05,3254.0,3255.0,3228.5,3249.5,734925
2017-12-06,3253.5,3257.0,3233.0,3243.5,695345
2017-12-07,3255.0,3326.5,3255.0,3299.5,1053096
2017-12-08,3285.0,3318.0,3273.0,3299.0,779276
2017-12-11,3294.5,3313.5,3279.5,3311.5,586441
2017-12-12,3305.0,3340.5,3304.0,3312.0,805577
2017-12-13,3299.5,3337.0,3293.0,3316.0,921617
2017-12-14,3326.5,3351.5,3315.0,3346.5,870611
2017-12-15,3340.0,3342.0,3298.0,3298.0,729166
2017-12-18,3301.5,3304.5,3282.0,3295.0,626957
2017-12-19,3300.5,3311.0,3285.5,3292.5,655261
2017-12-20,3291.0,3302.0,3284.0,3300.0,553768
2017-12-21,3297.0,3319.0,3293.5,3310.5,687578
2017-12-22,3306.5,3340.5,3304.5,3337.5,559017
2017-12-26,3330.0,3333.0,3306.0,3310.0,374522
2017-12-27,3303.0,3322.0,3294.0,3315.5,503934
2017-12-28,3320.5,3336.5,3308.0,3329.0,337621
2018-01-02,3306.0,3306.0,3268.5,3270.5,571300
2018-01-03,3263.0,3277.5,3244.0,3247.5,726808
2018-01-04,3244.5,3254.0,3232.5,3246.0,656971
2018-01-05,3245.0,3259.5,3236.5,3239.5,643249
2018-01-08,3242.0,3255.0,3235.0,3251.0,598470
2018-01-09,3255.0,3265.5,3239.5,3259.5,761238
2018-01-10,3263.5,3265.5,3236.0,3238.0,822685
2018-01-11,3241.5,3245.5,3220.0,3223.0,702800
2018-01-12,3228.5,3236.5,3206.5,3213.5,839971
2018-01-15,3205.0,3226.5,3199.0,3223.5,543552
2018-01-16,3222.0,3244.0,3219.0,3230.5,846385
2018-01-17,3236.5,3245.0,3218.5,3230.5,725424
2018-01-18,3227.0,3231.0,3208.0,3212.5,798273
2018-01-19,3213.0,3219.5,3199.5,3201.0,627052
2018-01-22,3198.0,3216.0,3188.5,3207.0,700526
2018-01-23,3214.5,3248.5,3212.5,3241.5,886656
2018-01-24,3230.5,3235.0,3138.5,3150.0,1125402
2018-01-26,3135.0,3158.5,3123.0,3155.0,1106164
2018-01-29,3162.0,3173.5,3155.5,3157.5,793991
2018-01-30,3157.5,3196.5,3149.5,3182.0,961415
2018-01-31,3177.5,3205.0,3155.5,3196.0,1024345
2018-02-01,3203.0,3206.5,3171.5,3177.5,978711
2018-02-02,3198.5,3233.0,3193.0,3230.5,982405
2018-02-05,3224.5,3283.0,3223.0,3272.0,965585
2018-02-06,3267.0,3287.0,3241.5,3243.0,1362386
