ativo,var_bb,rate_tp,rate_stop,pontos,qtd_operacoes,taxa_acerto,pontos_bruto,pontos_liquido
EURUSD15,2.5,2.0,1,0.0015,292,0.339041095890411,0.0075,-0.0071
EURUSD15,2.5,2.5,1,0.0015,292,0.2945205479452055,0.0135,-0.0011000000000000003
EURUSD15,2.5,3.0,1,0.0015,292,0.2671232876712329,0.03,0.015399999999999999
EURUSD15,2.5,3.5,1,0.0015,292,0.23972602739726026,0.0345,0.0199
EURUSD15,2.5,4.0,1,0.0015,292,0.2191780821917808,0.042,0.0274
EURUSD15,2.5,5.0,1,0.0015,292,0.18835616438356165,0.057,0.0424
EURUSD15,2.5,2.0,1,0.002,292,0.3424657534246575,0.016,0.0014000000000000002
EURUSD15,2.5,2.5,1,0.002,292,0.2910958904109589,0.011,-0.0036000000000000008
EURUSD15,2.5,3.0,1,0.002,292,0.2705479452054795,0.04800000000000011,0.03340000000000011
EURUSD15,2.5,3.5,1,0.002,292,0.23972602739726026,0.046,0.0314
EURUSD15,2.5,4.0,1,0.002,292,0.2054794520547945,0.016,0.0014000000000000002
EURUSD15,2.5,5.0,1,0.002,292,0.1678082191780822,0.004,-0.0106
EURUSD15,2.5,2.0,1,0.003,292,0.3698630136986301,0.096,0.0814
EURUSD15,2.5,2.5,1,0.003,292,0.3082191780821918,0.069,0.054400000000000004
EURUSD15,2.5,3.0,1,0.003,292,0.2568493150684932,0.02400000000000017,0.00940000000000017
EURUSD15,2.5,3.5,1,0.003,292,0.2226027397260274,0.0015,-0.0131
EURUSD15,2.5,4.0,1,0.003,292,0.2089041095890411,0.039,0.024399999999999998
EURUSD15,2.5,5.0,1,0.003,292,0.1678082191780822,0.006,-0.0086
EURUSD15,3.0,2.0,1,0.0015,126,0.373015873015873,0.0225,0.0162
EURUSD15,3.0,2.5,1,0.0015,126,0.3333333333333333,0.0315,0.0252
EURUSD15,3.0,3.0,1,0.0015,126,0.30952380952380953,0.045,0.0387
EURUSD15,3.0,3.5,1,0.0015,126,0.2777777777777778,0.04725,0.04095
EURUSD15,3.0,4.0,1,0.0015,126,0.2698412698412698,0.066,0.0597
EURUSD15,3.0,5.0,1,0.0015,126,0.23809523809523808,0.081,0.0747
EURUSD15,3.0,2.0,1,0.002,126,0.373015873015873,0.03,0.0237
EURUSD15,3.0,2.5,1,0.002,126,0.3333333333333333,0.042,0.0357
EURUSD15,3.0,3.0,1,0.002,126,0.3253968253968254,0.076,0.0697
EURUSD15,3.0,3.5,1,0.002,126,0.29365079365079366,0.081,0.0747
EURUSD15,3.0,4.0,1,0.002,126,0.2619047619047619,0.078,0.0717
EURUSD15,3.0,5.0,1,0.002,126,0.20634920634920634,0.06,0.0537
EURUSD15,3.0,2.0,1,0.003,126,0.3968253968253968,0.07200000000000001,0.06570000000000001
EURUSD15,3.0,2.5,1,0.003,126,0.3412698412698413,0.0735,0.0672
EURUSD15,3.0,3.0,1,0.003,126,0.30952380952380953,0.09,0.0837
EURUSD15,3.0,3.5,1,0.003,126,0.2698412698412698,0.081,0.0747
EURUSD15,3.0,4.0,1,0.003,126,0.23809523809523808,0.07200000000000001,0.06570000000000001
EURUSD15,3.0,5.0,1,0.003,126,0.1984126984126984,0.07200000000000001,0.06570000000000001
EURUSD15,3.5,2.0,1,0.0015,34,0.47058823529411764,0.021,0.0193
EURUSD15,3.5,2.5,1,0.0015,34,0.4117647058823529,0.0225,0.0208
EURUSD15,3.5,3.0,1,0.0015,34,0.4117647058823529,0.033,0.0313
EURUSD15,3.5,3.5,1,0.0015,34,0.38235294117647056,0.03675,0.03505
EURUSD15,3.5,4.0,1,0.0015,34,0.38235294117647056,0.0465,0.0448
EURUSD15,3.5,5.0,1,0.0015,34,0.38235294117647056,0.066,0.0643
EURUSD15,3.5,2.0,1,0.002,34,0.4117647058823529,0.016,0.0143
EURUSD15,3.5,2.5,1,0.002,34,0.38235294117647056,0.023,0.0213
EURUSD15,3.5,3.0,1,0.002,34,0.38235294117647056,0.036000000000000004,0.034300000000000004
EURUSD15,3.5,3.5,1,0.002,34,0.38235294117647056,0.049,0.0473
EURUSD15,3.5,4.0,1,0.002,34,0.38235294117647056,0.062,0.0603
EURUSD15,3.5,5.0,1,0.002,34,0.35294117647058826,0.076,0.0743
EURUSD15,3.5,2.0,1,0.003,34,0.4117647058823529,0.024,0.0223
EURUSD15,3.5,2.5,1,0.003,34,0.4117647058823529,0.045,0.0433
EURUSD15,3.5,3.0,1,0.003,34,0.38235294117647056,0.054,0.0523
EURUSD15,3.5,3.5,1,0.003,34,0.38235294117647056,0.0735,0.0718
EURUSD15,3.5,4.0,1,0.003,34,0.2647058823529412,0.033,0.0313
EURUSD15,3.5,5.0,1,0.003,34,0.20588235294117646,0.024,0.0223
