ativo,var_bb,rate_tp,rate_stop,pontos,qtd_operacoes,taxa_acerto,pontos_bruto,pontos_liquido
GBPUSD5,1.8,2.0,1,0.0005,1063,0.3640639698965193,0.049,-0.004150000000000001
GBPUSD5,1.8,2.5,1,0.0005,1063,0.3142050799623706,0.053,-0.0001500000000000043
GBPUSD5,1.8,3.0,1,0.0005,1063,0.2718720602069614,0.0465,-0.006650000000000003
GBPUSD5,1.8,3.5,1,0.0005,1063,0.23800564440263405,0.03775,-0.015400000000000004
GBPUSD5,1.8,4.0,1,0.0005,1063,0.22013170272812793,0.0535,0.00034999999999999615
GBPUSD5,1.8,2.0,1,0.001,1063,0.3471307619943556,0.044,-0.009150000000000005
GBPUSD5,1.8,2.5,1,0.001,1063,0.3019755409219191,0.0605,0.007349999999999995
GBPUSD5,1.8,3.0,1,0.001,1063,0.270931326434619,0.089,0.03584999999999999
GBPUSD5,1.8,3.5,1,0.001,1063,0.24835371589840075,0.125,0.07185
GBPUSD5,1.8,4.0,1,0.001,1063,0.22201317027281278,0.117,0.06385
GBPUSD5,1.8,2.0,1,0.0015,1063,0.3621825023518344,0.138,0.08485000000000001
GBPUSD5,1.8,2.5,1,0.0015,1063,0.3217309501411101,0.201,0.14785
GBPUSD5,1.8,3.0,1,0.0015,1063,0.2756349952963311,0.1635,0.11035
GBPUSD5,1.8,3.5,1,0.0015,1063,0.2389463781749765,0.12,0.06684999999999999
GBPUSD5,1.8,4.0,1,0.0015,1063,0.21072436500470368,0.0855,0.032350000000000004
GBPUSD5,2.0,2.0,1,0.0005,876,0.3573059360730594,0.0315,-0.012299999999999998
GBPUSD5,2.0,2.5,1,0.0005,876,0.3105022831050228,0.038,-0.0058
GBPUSD5,2.0,3.0,1,0.0005,876,0.2728310502283105,0.04,-0.003799999999999998
GBPUSD5,2.0,3.5,1,0.0005,876,0.23515981735159816,0.025500000000000002,-0.018299999999999997
GBPUSD5,2.0,4.0,1,0.0005,876,0.21575342465753425,0.0345,-0.009299999999999996
GBPUSD5,2.0,2.0,1,0.001,876,0.3356164383561644,0.006,-0.0378
GBPUSD5,2.0,2.5,1,0.001,876,0.2968036529680365,0.034,-0.009799999999999996
GBPUSD5,2.0,3.0,1,0.001,876,0.2682648401826484,0.064,0.020200000000000003
GBPUSD5,2.0,3.5,1,0.001,876,0.2420091324200913,0.078,0.0342
GBPUSD5,2.0,4.0,1,0.001,876,0.22031963470319635,0.089,0.0452
GBPUSD5,2.0,2.0,1,0.0015,876,0.365296803652968,0.126,0.0822
GBPUSD5,2.0,2.5,1,0.0015,876,0.3184931506849315,0.15075,0.10694999999999999
GBPUSD5,2.0,3.0,1,0.0015,876,0.2773972602739726,0.14400000000000002,0.10020000000000001
GBPUSD5,2.0,3.5,1,0.0015,876,0.23515981735159816,0.0765,0.0327
GBPUSD5,2.0,4.0,1,0.0015,876,0.20776255707762556,0.051000000000000004,0.007200000000000005
GBPUSD5,2.3,2.0,1,0.0005,611,0.3502454991816694,0.0155,-0.015050000000000001
GBPUSD5,2.3,2.5,1,0.0005,611,0.3044189852700491,0.020000000000000028,-0.010549999999999973
GBPUSD5,2.3,3.0,1,0.0005,611,0.265139116202946,0.0185,-0.012050000000000002
GBPUSD5,2.3,3.5,1,0.0005,611,0.23404255319148937,0.01625,-0.0143
GBPUSD5,2.3,4.0,1,0.0005,611,0.2127659574468085,0.0195,-0.01105
GBPUSD5,2.3,2.0,1,0.001,611,0.32896890343698854,-0.008,-0.03855
GBPUSD5,2.3,2.5,1,0.001,611,0.2896890343698854,0.0085,-0.02205
GBPUSD5,2.3,3.0,1,0.001,611,0.2569558101472995,0.017,-0.01355
GBPUSD5,2.3,3.5,1,0.001,611,0.23731587561374795,0.0415,0.010950000000000001
GBPUSD5,2.3,4.0,1,0.001,611,0.2144026186579378,0.044,0.013449999999999997
GBPUSD5,2.3,2.0,1,0.0015,611,0.37152209492635024,0.105,0.07444999999999999
GBPUSD5,2.3,2.5,1,0.0015,611,0.33060556464811786,0.14400000000000002,0.11345000000000002
GBPUSD5,2.3,3.0,1,0.0015,611,0.28314238952536824,0.1215,0.09095
GBPUSD5,2.3,3.5,1,0.0015,611,0.23731587561374795,0.06225,0.0317
GBPUSD5,2.3,4.0,1,0.0015,611,0.2127659574468085,0.0585,0.027950000000000003
