ativo,var_bb,rate_tp,rate_stop,pontos,qtd_operacoes,taxa_acerto,pontos_bruto,pontos_liquido
EURUSD5,1.8,2.0,1,0.0006,1632,0.35110294117647056,0.052199999999999996,-0.02940000000000001
EURUSD5,1.8,2.5,1,0.0006,1632,0.29840686274509803,0.0435,-0.03810000000000001
EURUSD5,1.8,3.0,1,0.0006,1632,0.26409313725490197,0.05519999999999999,-0.026400000000000014
EURUSD5,1.8,3.5,1,0.0006,1632,0.23284313725490197,0.046799999999999994,-0.03480000000000001
EURUSD5,1.8,4.0,1,0.0006,1632,0.21507352941176472,0.07379999999999999,-0.007800000000000015
EURUSD5,1.8,5.0,1,0.0006,1632,0.18382352941176472,0.10079999999999999,0.01919999999999998
EURUSD5,1.8,2.0,1,0.001,1632,0.34620098039215685,0.063,-0.018600000000000005
EURUSD5,1.8,2.5,1,0.001,1632,0.30269607843137253,0.09699999999999978,0.015399999999999775
EURUSD5,1.8,3.0,1,0.001,1632,0.2696078431372549,0.128,0.0464
EURUSD5,1.8,3.5,1,0.001,1632,0.23590686274509803,0.1005,0.0189
EURUSD5,1.8,4.0,1,0.001,1632,0.22181372549019607,0.178,0.09639999999999999
EURUSD5,1.8,5.0,1,0.001,1632,0.18872549019607843,0.216,0.1344
EURUSD5,1.8,2.0,1,0.0012,1632,0.34375,0.0612,-0.02040000000000001
EURUSD5,1.8,2.5,1,0.0012,1632,0.29840686274509803,0.087,0.005399999999999988
EURUSD5,1.8,3.0,1,0.0012,1632,0.25919117647058826,0.07200000000000027,-0.009599999999999734
EURUSD5,1.8,3.5,1,0.0012,1632,0.23161764705882354,0.0828,0.0011999999999999927
EURUSD5,1.8,4.0,1,0.0012,1632,0.21323529411764705,0.1296,0.04799999999999999
EURUSD5,1.8,5.0,1,0.0012,1632,0.18198529411764705,0.18,0.09839999999999999
EURUSD5,1.8,2.0,1,0.0015,1632,0.34375,0.0765,-0.005100000000000007
EURUSD5,1.8,2.5,1,0.0015,1632,0.29411764705882354,0.07200000000000001,-0.009599999999999997
EURUSD5,1.8,3.0,1,0.0015,1632,0.2604166666666667,0.10200000000000034,0.020400000000000335
EURUSD5,1.8,3.5,1,0.0015,1632,0.23590686274509803,0.15075,0.06914999999999999
EURUSD5,1.8,4.0,1,0.0015,1632,0.21262254901960784,0.1545,0.07289999999999999
