,ativo,var_bb,rate_tp,rate_stop,pontos,qtd_operacoes,taxa_acerto,pontos_bruto,pontos_liquido
0,wdo_1,2.5,1.5,1,40,671,0.4157973174366617,1060.0,-2295.0
0,wdo_1,2.5,2.0,1,40,671,0.33979135618479883,520.0000000000023,-2834.9999999999977
0,wdo_1,2.5,2.5,1,40,671,0.3025335320417288,1580.0,-1775.0
0,wdo_1,2.5,3.0,1,40,671,0.2533532041728763,360.0,-2995.0
0,wdo_1,2.5,5.0,1,40,671,0.11624441132637854,-8120.0,-11475.0
0,wdo_1,2.5,1.5,1,80,671,0.3919523099850969,-1080.0,-4435.0
0,wdo_1,2.5,2.0,1,80,671,0.27719821162444114,-9040.0,-12395.0
0,wdo_1,2.5,2.5,1,80,671,0.21311475409836064,-13640.0,-16995.0
0,wdo_1,2.5,3.0,1,80,671,0.16393442622950818,-18480.000000000004,-21835.000000000004
0,wdo_1,2.5,5.0,1,80,671,0.06408345752608048,-33040.0,-36395.0
0,wdo_1,2.5,1.5,1,100,671,0.35767511177347244,-7100.0,-10455.0
0,wdo_1,2.5,2.0,1,100,671,0.2608047690014903,-14600.0,-17955.0
0,wdo_1,2.5,2.5,1,100,671,0.19821162444113263,-20550.0,-23905.0
0,wdo_1,2.5,3.0,1,100,671,0.15499254843517138,-25500.0,-28855.0
0,wdo_1,2.5,5.0,1,100,671,0.028315946348733235,-55700.0,-59055.0
0,wdo_1,2.5,1.5,1,150,671,0.3263785394932936,-18525.0,-21880.0
0,wdo_1,2.5,2.0,1,150,671,0.22205663189269748,-33600.0,-36955.0
0,wdo_1,2.5,2.5,1,150,671,0.15499254843517138,-46050.0,-49405.0
0,wdo_1,2.5,3.0,1,150,671,0.05514157973174367,-78450.0,-81805.0
0,wdo_1,2.5,5.0,1,150,671,0.0014903129657228018,-99750.0,-103105.0
0,wdo_1,3.0,1.5,1,40,188,0.43617021276595747,680.0,-260.0
0,wdo_1,3.0,2.0,1,40,188,0.35106382978723405,400.0,-540.0
0,wdo_1,3.0,2.5,1,40,188,0.2978723404255319,320.0,-620.0
0,wdo_1,3.0,3.0,1,40,188,0.26595744680851063,480.0,-460.0
0,wdo_1,3.0,5.0,1,40,188,0.13297872340425532,-1520.0,-2460.0
0,wdo_1,3.0,1.5,1,80,188,0.42021276595744683,760.0,-180.0
0,wdo_1,3.0,2.0,1,80,188,0.31382978723404253,-880.0,-1820.0
0,wdo_1,3.0,2.5,1,80,188,0.22872340425531915,-3000.0,-3940.0
0,wdo_1,3.0,3.0,1,80,188,0.17553191489361702,-4480.0,-5420.0
0,wdo_1,3.0,5.0,1,80,188,0.06914893617021277,-8800.0,-9740.0
0,wdo_1,3.0,1.5,1,100,188,0.3617021276595745,-1800.0,-2740.0
0,wdo_1,3.0,2.0,1,100,188,0.2765957446808511,-3200.0,-4140.0
0,wdo_1,3.0,2.5,1,100,188,0.2074468085106383,-5150.0,-6090.0
0,wdo_1,3.0,3.0,1,100,188,0.16489361702127658,-6400.000000000002,-7340.000000000002
0,wdo_1,3.0,5.0,1,100,188,0.026595744680851064,-15800.0,-16740.0
0,wdo_1,3.0,1.5,1,150,188,0.35638297872340424,-3075.0,-4015.0
0,wdo_1,3.0,2.0,1,150,188,0.24468085106382978,-7500.0,-8440.0
0,wdo_1,3.0,2.5,1,150,188,0.15425531914893617,-12975.0,-13915.0
0,wdo_1,3.0,3.0,1,150,188,0.05851063829787234,-21600.0,-22540.0
0,wdo_1,3.0,5.0,1,150,188,0.0,-28200.0,-29140.0
0,wdo_5,2.5,1.5,1,40,140,0.45714285714285713,800.0,100.0
0,wdo_5,2.5,2.0,1,40,140,0.40714285714285714,1240.0,540.0
0,wdo_5,2.5,2.5,1,40,140,0.35,1260.0,560.0
0,wdo_5,2.5,3.0,1,40,140,0.2642857142857143,320.0,-380.0
0,wdo_5,2.5,5.0,1,40,140,0.12857142857142856,-1280.0,-1980.0
0,wdo_5,2.5,1.5,1,80,140,0.39285714285714285,-200.0,-900.0
0,wdo_5,2.5,2.0,1,80,140,0.3142857142857143,-640.0,-1340.0
0,wdo_5,2.5,2.5,1,80,140,0.22142857142857142,-2520.0,-3220.0
0,wdo_5,2.5,3.0,1,80,140,0.17142857142857143,-3520.0,-4220.0
