,ativo,var_bb,rate_tp,rate_stop,pontos,qtd_operacoes,taxa_acerto,pontos_bruto,pontos_liquido
0,win_1,2.5,1.5,1,40,734,0.4264305177111717,1940.0,-1730.0
0,win_1,2.5,2.0,1,40,734,0.3651226158038147,2800.0,-870.0
0,win_1,2.5,2.5,1,40,734,0.3215258855585831,3679.9999999999955,9.999999999995453
0,win_1,2.5,3.0,1,40,734,0.28746594005449594,4400.000000000005,730.0000000000045
0,win_1,2.5,5.0,1,40,734,0.19346049046321526,4720.0,1050.0
0,win_1,2.5,1.5,1,80,734,0.4250681198910082,3680.0,10.0
0,win_1,2.5,2.0,1,80,734,0.3446866485013624,2000.0,-1670.0
0,win_1,2.5,2.5,1,80,734,0.29836512261580383,2600.000000000009,-1069.999999999991
0,win_1,2.5,3.0,1,80,734,0.26975476839237056,4640.0,970.0
0,win_1,2.5,5.0,1,80,734,0.18664850136239783,7040.0,3370.0
0,win_1,2.5,1.5,1,100,734,0.40735694822888285,1350.0,-2320.0
0,win_1,2.5,2.0,1,100,734,0.3310626702997275,-500.0,-4170.0
0,win_1,2.5,2.5,1,100,734,0.2956403269754768,2549.9999999999886,-1120.0000000000114
0,win_1,2.5,3.0,1,100,734,0.2574931880108992,2200.0000000000114,-1469.9999999999886
0,win_1,2.5,5.0,1,100,734,0.1784741144414169,5200.0,1530.0
0,win_1,2.5,1.5,1,150,734,0.4223433242506812,6150.0,2480.0
0,win_1,2.5,2.0,1,150,734,0.36103542234332425,9150.0,5480.0
0,win_1,2.5,2.5,1,150,734,0.3065395095367847,8024.999999999983,4354.999999999983
0,win_1,2.5,3.0,1,150,734,0.2779291553133515,12300.0,8630.0
0,win_1,2.5,5.0,1,150,734,0.20572207084468666,25800.0,22130.0
0,win_1,3.0,1.5,1,40,216,0.375,-540.0,-1620.0
0,win_1,3.0,2.0,1,40,216,0.3287037037037037,-120.0,-1200.0
0,win_1,3.0,2.5,1,40,216,0.3101851851851852,740.0,-340.0
0,win_1,3.0,3.0,1,40,216,0.2777777777777778,960.0,-120.0
0,win_1,3.0,5.0,1,40,216,0.1712962962962963,240.0,-840.0
0,win_1,3.0,1.5,1,80,216,0.41203703703703703,520.0,-560.0
0,win_1,3.0,2.0,1,80,216,0.3194444444444444,-720.0,-1800.0
0,win_1,3.0,2.5,1,80,216,0.2916666666666667,360.0000000000023,-719.9999999999977
0,win_1,3.0,3.0,1,80,216,0.2777777777777778,1920.0,840.0
0,win_1,3.0,5.0,1,80,216,0.2175925925925926,5280.0,4200.0
0,win_1,3.0,1.5,1,100,216,0.37962962962962965,-1100.0,-2180.0
0,win_1,3.0,2.0,1,100,216,0.3194444444444444,-900.0,-1980.0
0,win_1,3.0,2.5,1,100,216,0.30092592592592593,1150.0,70.0
0,win_1,3.0,3.0,1,100,216,0.26851851851851855,1600.0000000000027,520.0000000000027
0,win_1,3.0,5.0,1,100,216,0.21296296296296297,6000.0,4920.0
0,win_1,3.0,1.5,1,150,216,0.39814814814814814,-150.0,-1230.0
0,win_1,3.0,2.0,1,150,216,0.35185185185185186,1800.0,720.0
0,win_1,3.0,2.5,1,150,216,0.3101851851851852,2775.0,1695.0
0,win_1,3.0,3.0,1,150,216,0.2824074074074074,4199.999999999995,3119.9999999999955
0,win_1,3.0,5.0,1,150,216,0.22685185185185186,11700.0,10620.0
0,win_5,2.5,1.5,1,40,175,0.2057142857142857,-3400.0,-4275.0
0,win_5,2.5,2.0,1,40,175,0.2,-2800.0,-3675.0
0,win_5,2.5,2.5,1,40,175,0.19428571428571428,-2240.0,-3115.0
0,win_5,2.5,3.0,1,40,175,0.18285714285714286,-1880.0,-2755.0
0,win_5,2.5,5.0,1,40,175,0.16,-280.0,-1155.0
0,win_5,2.5,1.5,1,80,175,0.33714285714285713,-2200.0,-3075.0
0,win_5,2.5,2.0,1,80,175,0.30857142857142855,-1040.0,-1915.0
0,win_5,2.5,2.5,1,80,175,0.29714285714285715,560.0,-315.0
0,win_5,2.5,3.0,1,80,175,0.28,1680.0000000000023,805.0000000000023
0,win_5,2.5,5.0,1,80,175,0.21142857142857144,3760.0,2885.0
0,win_5,2.5,1.5,1,100,175,0.4,0.0,-875.0
0,win_5,2.5,2.0,1,100,175,0.37142857142857144,2000.0,1125.0
0,win_5,2.5,2.5,1,100,175,0.33714285714285713,3150.0,2275.0
0,win_5,2.5,3.0,1,100,175,0.3028571428571429,3700.0000000000027,2825.0000000000027
0,win_5,2.5,5.0,1,100,175,0.21142857142857144,4700.0,3825.0
0,win_5,2.5,1.5,1,150,175,0.44,2625.0,1750.0
