zig_zag_percent: 0.2 -- merge_percent: 0.1 -- pontos: 0.0007--Rate_tp: 1.0 eurusd 1 rsi 9 80 20 2 meses
_h  qtd_operacoes  taxa_acerto
 0              4     0.750000
 1              7     0.285714
 2             14     0.571429
 3             10     0.600000
 4              9     0.666667
 5             11     0.545455
 6              5     0.600000
 7              9     0.555556
 8             14     0.571429
 9             16     0.500000
10             16     0.687500
11             15     0.466667
12              8     0.750000
13             10     0.500000
14             11     0.454545
15             14     0.571429
16             14     0.428571
17             22     0.409091
18             11     0.363636
19              9     0.222222
20              8     0.625000
21             10     0.800000
22              2     0.500000
23              1     0.000000

zig_zag_percent: 0.2 -- merge_percent: 0.1 -- pontos: 0.0003--Rate_tp: 2.0
_h  qtd_operacoes  taxa_acerto
 0              4     0.500000
 1              7     0.285714
 2             13     0.538462
 3             10     0.500000
 4              9     0.666667
 5             12     0.250000
 6              5     0.600000
 7              9     0.333333
 8             14     0.571429
 9             16     0.437500
10             16     0.375000
11             15     0.200000
12              8     0.500000
13             10     0.500000
14             11     0.454545
15             14     0.428571
16             14     0.285714
17             22     0.227273
18             11     0.181818
19              9     0.222222
20              8     0.375000
21             10     0.400000
22              2     0.000000
23              1     0.000000
percent: 0.3 -- merge_percent: 0.1 -- pontos: 0.0003--Rate_tp: 2.0
_h  qtd_operacoes  taxa_acerto
 0              4     0.250000
 1              6     0.166667
 2             13     0.384615
 3              8     0.250000
 4              7     0.571429
 5              7     0.142857
 6              4     0.500000
 7              8     0.250000
 8              9     0.666667
 9             13     0.461538
10             12     0.500000
11              9     0.111111
12              8     0.375000
13              6     0.500000
14              8     0.500000
15              9     0.555556
16             10     0.600000
17             19     0.157895
18              8     0.250000
19              7     0.285714
20              6     0.500000
21              7     0.142857
22              1     0.000000
23              1     0.000000

------------------------------------

percent: 0.1 -- merge_percent: 0.1 -- pontos: 0.0005--Rate_tp: 1.0 9 75 25 2 mses
_h  qtd_operacoes  taxa_acerto
 0              7     0.571429
 1             14     0.357143
 2             14     0.500000
 3             14     0.500000
 4             14     0.571429
 5             11     0.363636
 6              5     0.600000
 7              9     0.555556
 8             19     0.526316
 9             18     0.666667
10             16     0.625000
11             16     0.437500
12             15     0.533333
13             17     0.705882
14             10     0.600000
15             14     0.428571
16             15     0.533333
17             23     0.434783
18             21     0.476190
19             11     0.545455
20              7     0.714286
21             11     0.454545
22              6     0.666667
23              3     0.666667

percent: 0.3 -- merge_percent: 0.1 -- pontos: 0.0003--Rate_tp: 2.0
_h  qtd_operacoes  taxa_acerto
 0              7     0.428571
 1              8     0.250000
 2             10     0.300000
 3              8     0.250000
 4              7     0.571429
 5              4     0.000000
 6              4     0.750000
 7             10     0.300000
 8             10     0.400000
 9             10     0.400000
10             12     0.583333
11              8     0.125000
12              7     0.428571
13              4     0.500000
14             10     0.600000
15             10     0.600000
16             11     0.454545
17             18     0.166667
18             13     0.384615
19              6     0.333333
20              6     0.666667
21              9     0.111111
22              1     0.000000
23              1     0.000000

percent: 0.3 -- merge_percent: 0.1 -- pontos: 0.0005--Rate_tp: 2.0
_h  qtd_operacoes  taxa_acerto
 0              7     0.142857
 1              8     0.250000
 2             10     0.400000
 3              8     0.125000
 4              7     0.571429
 5              4     0.250000
 6              4     0.500000
 7              9     0.555556
 8              8     0.375000
 9             10     0.300000
10             12     0.583333
11              8     0.375000
12              7     0.428571
13              4     0.500000
14             10     0.600000
15             10     0.300000
16             11     0.454545
17             18     0.166667
18             13     0.307692
19              6     0.166667
20              6     0.666667
21              9     0.333333
22              1     0.000000
23              1     0.000000

-----------------------------------------

percent: 0.3 -- merge_percent: 0.2 -- pontos: 0.0003--Rate_tp: 2.0 rsi 9 70 30 (FORTE CANDIDATO ESSE RSI)
_h  qtd_operacoes  taxa_acerto
 0             15     0.266667
 1             14     0.285714
 2             18     0.333333
 3             16     0.312500
 4             11     0.363636
 5              8     0.250000
 6              7     0.571429
 7             10     0.400000
 8             14     0.428571
 9             15     0.400000
10             15     0.266667
11             18     0.222222
12             16     0.500000
13             10     0.500000
14              7     0.428571
15             13     0.230769
16             19     0.473684
17             25     0.200000
18             14     0.714286
19             10     0.200000
20             12     0.583333
21             15     0.133333
22              5     0.000000
23              2     1.000000


percent: 0.3 -- merge_percent: 0.1 -- pontos: 0.0005--Rate_tp: 1.0
_h  qtd_operacoes  taxa_acerto
 0             17     0.411765
 1             14     0.428571
 2             20     0.450000
 3             18     0.388889
 4             15     0.733333
 5              8     0.500000
 6             10     0.700000
 7             15     0.800000
 8             17     0.411765
 9             24     0.583333
10             23     0.521739
11             19     0.368421
12             17     0.470588
13             15     0.666667
14             15     0.533333
15             14     0.428571
16             24     0.708333
17             27     0.259259
18             22     0.681818
19             14     0.500000
20             13     0.769231
21             17     0.294118
22              6     0.500000
23              2     0.500000

percent: 0.1 -- merge_percent: 0.1 -- pontos: 0.0005--Rate_tp: 1.0
_h  qtd_operacoes  taxa_acerto
 0             12     0.416667
 1             21     0.523810
 2             30     0.566667
 3             30     0.533333
 4             30     0.533333
 5             17     0.529412
 6             19     0.526316
 7             18     0.666667
 8             34     0.529412
 9             34     0.588235
10             35     0.514286
11             35     0.457143
12             29     0.482759
13             36     0.722222
14             24     0.458333
15             32     0.468750
16             36     0.611111
17             43     0.488372
18             34     0.500000
19             23     0.434783
20             17     0.529412
21             21     0.428571
22             10     0.600000
23              5     0.600000
