percent: 0.3 -- merge_percent: 0.1 -- pontos: 0.0007--Rate_tp: 1.0 eurusd5 rsi9 7525 6 meses
_h  qtd_operacoes  taxa_acerto
 0              1     1.000000
 1              3     1.000000
 2              4     0.500000
 3             15     0.533333
 4              6     0.833333
 5              5     0.800000
 6              7     0.714286
 7             10     0.600000
 8              6     0.333333
 9             24     0.458333
10             21     0.523810
11              9     0.666667
12             11     0.363636
13             10     0.600000
14             10     0.800000
15             20     0.800000
16             10     0.500000
17             19     0.473684
18              6     0.500000
19              3     0.666667
20              4     0.500000
21              8     0.625000
22              3     0.666667
23              3     0.333333


percent: 0.3 -- merge_percent: 0.2 -- pontos: 0.0007--Rate_tp: 1.0
_h  qtd_operacoes  taxa_acerto
 0              1     1.000000
 1              4     0.500000
 2              4     0.500000
 3             10     0.600000
 4              5     0.800000
 5              6     0.833333
 6              3     1.000000
 7             11     0.636364
 8              8     0.250000
 9             24     0.458333
10             17     0.647059
11             12     0.750000
12              9     0.444444
13              8     0.750000
14              7     0.714286
15             18     0.777778
16             13     0.384615
17             16     0.437500
18              6     0.500000
19              2     0.500000
20              3     0.666667
21              6     0.666667
22              2     0.500000
23              3     0.666667

--------------------------------------------

percent: 0.3 -- merge_percent: 0.2 -- pontos: 0.0007--Rate_tp: 1.0   9 70 30
_h  qtd_operacoes  taxa_acerto
 0              4     0.750000
 1             11     0.545455
 2             13     0.615385
 3             21     0.571429
 4             11     0.727273
 5             11     0.727273
 6              5     0.800000
 7             15     0.733333
 8             13     0.307692
 9             37     0.459459
10             23     0.565217
11             19     0.736842
12             18     0.500000
13             17     0.588235
14             14     0.642857
15             25     0.760000
16             20     0.400000
17             30     0.466667
18             15     0.466667
19              7     0.285714
20              8     0.500000
21             13     0.538462
22              9     0.444444
23              4     0.750000



percent: 0.1 -- merge_percent: 0.1 -- pontos: 0.0005--Rate_tp: 1.0
_h  qtd_operacoes  taxa_acerto
 0              4     0.750000
 1             21     0.666667
 2             23     0.652174
 3             51     0.607843
 4             21     0.523810
 5             12     0.583333
 6             17     0.529412
 7             18     0.388889
 8             21     0.428571
 9             46     0.543478
10             27     0.740741
11             18     0.444444
12             27     0.592593
13             27     0.592593
14             22     0.772727
15             28     0.535714
16             30     0.333333
17             35     0.342857
18             14     0.571429
19             10     0.700000
20             15     0.466667
21             17     0.647059
22             13     0.615385
23              4     0.750000

percent: 0.1 -- merge_percent: 0.1 -- pontos: 0.0003--Rate_tp: 2.0
_h  qtd_operacoes  taxa_acerto
 0              4     0.500000
 1             21     0.523810
 2             23     0.608696
 3             51     0.392157
 4             21     0.333333
 5             12     0.416667
 6             17     0.294118
 7             18     0.333333
 8             21     0.333333
 9             46     0.369565
10             27     0.555556
11             18     0.222222
12             27     0.444444
13             27     0.370370
14             22     0.545455
15             28     0.285714
16             30     0.266667
17             35     0.228571
18             14     0.142857
19             10     0.400000
20             15     0.266667
21             17     0.352941
22             13     0.538462
23              4     0.500000


--------------------------------------------
