Timeframe,pontos,zig_zag_percent,merge_percent,rate_tp,N_trades,Taxa_acerto,Pontos_total,Retorno
1,0.0003,0.1,0.1,1,125,81.6,0.01745,2.5394905853195935
1,0.0005,0.1,0.1,1,125,81.6,0.03325000000000001,4.21099814010936
1,0.0003,0.2,0.1,1,123,80.48780487804879,0.016350000000000007,2.409565645009637
1,0.0005,0.2,0.1,1,123,81.30081300813008,0.032350000000000004,4.09830810805951
1,0.0003,0.3,0.1,1,122,76.22950819672131,0.013099999999999997,2.0783591398897765
1,0.0005,0.3,0.1,1,122,80.32786885245902,0.030900000000000004,3.836324493549496
1,0.0003,0.1,0.2,1,103,82.52427184466019,0.01495,2.175505590169623
1,0.0005,0.1,0.2,1,103,80.58252427184466,0.02635,3.314412837029606
1,0.0003,0.2,0.2,1,96,81.25,0.013199999999999998,1.9158470554696767
1,0.0005,0.2,0.2,1,96,83.33333333333334,0.027200000000000016,3.310559551779583
1,0.0003,0.3,0.2,1,94,80.85106382978722,0.012699999999999993,1.8569082500198038
1,0.0005,0.3,0.2,1,94,79.7872340425532,0.023299999999999998,2.8964300792196394
1,0.0003,0.1,0.3,1,96,83.33333333333334,0.014400000000000005,2.0623210535097423
1,0.0005,0.1,0.3,1,96,82.29166666666666,0.026199999999999987,3.236547559319586
1,0.0003,0.2,0.3,1,93,78.49462365591397,0.01124999999999999,1.7083246482898444
1,0.0005,0.2,0.3,1,93,83.87096774193549,0.02685,3.2504227445596605
1,0.0003,0.3,0.3,1,78,80.76923076923077,0.010499999999999995,1.5369867373598813
1,0.0005,0.3,0.3,1,78,75.64102564102564,0.016100000000000003,2.0898074763997796
