data,open,high,low,close,vol
2021-12-17 17:45:00,21.07,21.12,21.05,21.06,544600
2021-12-17 18:00:00,21.12,21.12,21.12,21.12,14188800
2021-12-17 19:00:00,21.11,21.12,21.11,21.11,51700
2021-12-17 19:15:00,21.12,21.13,21.11,21.11,208000
2021-12-17 19:45:00,21.11,21.11,21.06,21.07,11300
2021-12-20 10:00:00,21.15,21.16,20.85,20.92,844900
2021-12-20 10:15:00,20.92,20.95,20.84,20.85,564200
2021-12-20 10:30:00,20.85,20.91,20.78,20.88,551700
2021-12-20 10:45:00,20.9,20.94,20.78,20.81,585900
2021-12-20 11:00:00,20.82,20.9,20.8,20.9,402300
2021-12-20 11:15:00,20.9,21.03,20.89,20.94,770000
2021-12-20 11:30:00,20.95,20.96,20.71,20.72,1850600
2021-12-20 11:45:00,20.73,20.85,20.7,20.85,961500
2021-12-20 12:00:00,20.84,20.89,20.81,20.85,744900
2021-12-20 12:15:00,20.85,20.89,20.76,20.78,1172400
2021-12-20 12:30:00,20.78,20.78,20.67,20.7,778300
2021-12-20 12:45:00,20.7,20.71,20.58,20.6,1133000
2021-12-20 13:00:00,20.6,20.66,20.58,20.58,677700
2021-12-20 13:15:00,20.59,20.68,20.58,20.67,450900
2021-12-20 13:30:00,20.66,20.68,20.61,20.67,662800
2021-12-20 13:45:00,20.67,20.74,20.67,20.73,335800
2021-12-20 14:00:00,20.72,20.79,20.7,20.77,373500
2021-12-20 14:15:00,20.76,20.8,20.75,20.77,229000
2021-12-20 14:30:00,20.77,20.78,20.71,20.73,305100
2021-12-20 14:45:00,20.72,20.75,20.67,20.69,241300
2021-12-20 15:00:00,20.68,20.74,20.67,20.73,342200
2021-12-20 15:15:00,20.74,20.75,20.71,20.72,267300
2021-12-20 15:30:00,20.73,20.79,20.71,20.77,465300
2021-12-20 15:45:00,20.77,20.77,20.7,20.75,365000
2021-12-20 16:00:00,20.75,20.77,20.73,20.75,292200
2021-12-20 16:15:00,20.75,20.8,20.74,20.77,509300
2021-12-20 16:30:00,20.77,20.79,20.74,20.78,432000
2021-12-20 16:45:00,20.77,20.78,20.73,20.77,452600
