ativo,rate_tp,rate_stop,pontos,qtd_operacoes,taxa_acerto,pontos_bruto,pontos_liquido
win_1,1.5,1,20,1690,0.7497041420118343,29550.0,21100.0
win_1,2.0,1,20,1690,0.6337278106508876,30460.0,22010.0
win_1,2.5,1,20,1690,0.5384615384615384,29900.0,21450.0
win_1,3.0,1,20,1690,0.45621301775147927,27880.0,19430.0
win_1,5.0,1,20,1690,0.2514792899408284,17200.0,8750.0
win_1,1.5,1,40,1690,0.5331360946745562,22500.000000000015,14050.000000000015
win_1,2.0,1,40,1690,0.4260355029585799,18800.0,10350.0
win_1,2.5,1,40,1690,0.3455621301775148,14160.0,5710.0
win_1,3.0,1,40,1690,0.29467455621301775,12080.0,3630.0
win_1,5.0,1,40,1690,0.19112426035502958,9920.0,1470.0
win_1,1.5,1,80,1690,0.43136094674556213,10600.0,2150.0
win_1,2.0,1,80,1690,0.35562130177514795,9040.0,590.0
win_1,2.5,1,80,1690,0.29940828402366865,6480.0,-1970.0
win_1,3.0,1,80,1690,0.2650887573964497,8160.0,-290.0
win_1,5.0,1,80,1690,0.18402366863905326,14080.0,5630.0
win_1,1.5,1,100,1690,0.4165680473372781,7000.0,-1450.0
win_1,2.0,1,100,1690,0.3408284023668639,3800.0,-4650.0
win_1,2.5,1,100,1690,0.29940828402366865,8100.0,-350.0
win_1,3.0,1,100,1690,0.2591715976331361,6199.999999999977,-2250.0000000000227
win_1,5.0,1,100,1690,0.1804733727810651,14000.0,5550.0
win_1,1.5,1,20,734,0.8038147138964578,14820.0,11150.0
win_1,2.0,1,20,734,0.6934604904632152,15860.0,12190.0
win_1,2.5,1,20,734,0.6158038147138964,16960.0,13290.0
win_1,3.0,1,20,734,0.5395095367847411,17000.0,13330.0
win_1,5.0,1,20,734,0.3133514986376022,12920.000000000004,9250.000000000004
win_1,1.5,1,40,734,0.5885558583106267,13840.0,10170.0
win_1,2.0,1,40,734,0.4673024523160763,11800.0,8130.0
win_1,2.5,1,40,734,0.38283378746594005,9980.0,6310.0
win_1,3.0,1,40,734,0.32833787465940056,9200.0,5530.0
win_1,5.0,1,40,734,0.20435967302452315,6640.0,2970.0
win_1,1.5,1,80,734,0.44686648501362397,6880.0,3210.0
win_1,2.0,1,80,734,0.3569482288828338,4160.0,490.0
win_1,2.5,1,80,734,0.3079019073569482,4560.0,890.0
win_1,3.0,1,80,734,0.27520435967302453,5920.0,2250.0
win_1,5.0,1,80,734,0.1880108991825613,7520.0,3850.0
win_1,1.5,1,100,734,0.4223433242506812,4100.0,430.0
win_1,2.0,1,100,734,0.3405994550408719,1599.9999999999943,-2070.0000000000055
win_1,2.5,1,100,734,0.3010899182561308,3950.0,280.0
win_1,3.0,1,100,734,0.26021798365122617,3000.0,-670.0
win_1,5.0,1,100,734,0.17983651226158037,5800.0,2130.0
win_1,1.5,1,20,216,0.7962962962962963,4280.0,3200.0
win_1,2.0,1,20,216,0.6944444444444444,4680.0,3600.0
win_1,2.5,1,20,216,0.625,5130.0,4050.0
win_1,3.0,1,20,216,0.5555555555555556,5280.0,4200.0
win_1,5.0,1,20,216,0.35648148148148145,4920.0,3840.0
win_1,1.5,1,40,216,0.5879629629629629,4059.999999999998,2979.999999999998
win_1,2.0,1,40,216,0.4861111111111111,3960.0,2880.0
