,ativo,var_bb,rate_tp,rate_stop,pontos,qtd_operacoes,taxa_acerto,pontos_bruto,pontos_liquido
0,win_5,2,1.5,1,25,613,0.7699836867862969,14175.0,11110.0
0,win_5,2,2.0,1,25,613,0.7079934747145188,17225.0,14160.0
0,win_5,2,2.5,1,25,613,0.6068515497553018,17225.0,14160.0
0,win_5,2,3.0,1,25,613,0.566068515497553,19375.0,16310.0
0,win_5,2,1.5,1,40,613,0.6443719412724307,14980.0,11915.0
0,win_5,2,2.0,1,40,613,0.5595432300163132,16640.0,13575.0
0,win_5,2,2.5,1,40,613,0.4893964110929853,17480.0,14415.0
0,win_5,2,3.0,1,40,613,0.42088091353996737,16760.0,13695.0
0,win_5,2,1.5,1,80,613,0.46818923327895595,8360.0,5295.0
0,win_5,2,2.0,1,80,613,0.3800978792822186,6880.0,3815.0
0,win_5,2,2.5,1,80,613,0.32300163132137033,6400.0,3335.0
0,win_5,2,3.0,1,80,613,0.28711256117455136,7279.999999999991,4214.999999999991
0,win_5,2,1.5,1,100,613,0.44208809135399674,6450.0,3385.0
0,win_5,2,2.0,1,100,613,0.3719412724306688,7100.0,4035.0
0,win_5,2,2.5,1,100,613,0.32137030995106036,7650.0,4585.0
0,win_5,2,3.0,1,100,613,0.27569331158238175,6300.0,3235.0
0,win_15,2,1.5,1,25,211,0.8578199052132701,6037.5,4982.5
0,win_15,2,2.0,1,25,211,0.8293838862559242,7850.0,6795.0
0,win_15,2,2.5,1,25,211,0.7819905213270142,9162.5,8107.5
0,win_15,2,3.0,1,25,211,0.7630331753554502,10825.0,9770.0
0,win_15,2,1.5,1,40,211,0.7962085308056872,8360.0,7305.0
0,win_15,2,2.0,1,40,211,0.7535545023696683,10640.0,9585.0
0,win_15,2,2.5,1,40,211,0.6777251184834123,11580.0,10525.0
0,win_15,2,3.0,1,40,211,0.6540284360189573,13640.0,12585.0
0,win_15,2,1.5,1,80,211,0.6635071090047393,11120.0,10065.0
0,win_15,2,2.0,1,80,211,0.5497630331753555,10960.0,9905.0
0,win_15,2,2.5,1,80,211,0.4928909952606635,12240.0,11185.0
0,win_15,2,3.0,1,80,211,0.4312796208530806,12240.0,11185.0
0,win_15,2,1.5,1,100,211,0.5781990521327014,9400.0,8345.0
0,win_15,2,2.0,1,100,211,0.5071090047393365,11000.0,9945.0
0,win_15,2,2.5,1,100,211,0.44075829383886256,11450.0,10395.0
0,win_15,2,3.0,1,100,211,0.3791469194312796,10900.0,9845.0
