,Data,Open,High,Low,Close,Vol,MA_5,MA_21,BB_up,BB_mid,BB_low,macd,macdsignal,macdhist,RSI,dist_bb,dist_bb_up,dist_bb_low,dist_media,dist_media_abs,dist_price_media_21,dist_price_media_5,dist_RSI_70,dist_RSI_30,tamanho_corpo,tamanho_full,media_vol_5,media_vol_3,media_vol_10,tamanho_corpo_5,tamanho_corpo_direcao,candle_direcao,candle_direcao_5,candle_direcao_3,candle_direcao_10,tamanho_pra_baixo,tamanho_abaixo,tamanho_pra_cima,tamanho_acima,proximo_candle,pos_BB_inicial,verifica_tamanho,acao,stop,tp,resultado_binario
79782,2022-11-01 09:22:00,118245.0,118660.0,118190.0,118660.0,73263,118245.0,118117.14285714286,118449.5014036335,118105.75,117761.9985963665,,,,55.09952191913352,763.8920080744429,-172.30399596277857,-936.1960040372214,127.85714285714494,127.85714285714494,-542.8571428571449,-415.0,-14.900478080866478,25.099521919133522,415.0,470.0,41708.8,46759.0,34383.2,131.0,415.0,1,0.6,1.0,0.5,55.0,470.0,415.0,0.0,-180.0,1,0.9999997590362028,sell,118710.0,118560.0,1.0
79819,2022-11-01 09:59:00,119020.0,119035.0,118705.0,118910.0,68112,119035.0,119053.80952380953,119167.1498606943,119050.5,118933.8501393057,49.49774417077424,82.0334374853123,-32.535693314538065,44.254269262013636,259.22191265400033,270.11095632700017,10.889043672999833,-18.80952380952658,18.80952380952658,143.80952380952658,125.0,-25.745730737986364,14.254269262013636,110.0,330.0,33478.2,33574.333333333336,25130.4,46.0,-110.0,0,0.2,0.0,0.4,315.0,205.0,15.0,125.0,-355.0,-1,0.349206238347226,call,118860.0,119010.0,0.0
79844,2022-11-01 10:24:00,118420.0,118425.0,118235.0,118285.0,64949,118528.0,118675.47619047618,118998.74347348943,118686.75,118374.75652651057,-95.25899096949433,-55.622229531219396,-39.63676143827494,32.885183218511195,693.318829976517,748.4094149882585,55.090585011741496,-147.47619047618355,147.47619047618355,390.47619047618355,243.0,-37.114816781488805,2.8851832185111945,135.0,190.0,51483.2,54492.666666666664,43747.9,122.0,-135.0,0,0.2,0.0,0.1,185.0,50.0,5.0,140.0,-55.0,-1,0.7297293352814403,call,118235.0,118385.0,0.0
79874,2022-11-01 10:54:00,118235.0,118260.0,117985.0,117985.0,68805,118229.0,118275.0,118474.50789458065,118275.0,118075.49210541935,-56.97333815606544,-45.71707145357958,-11.25626670248586,35.67923073999918,443.35087684585596,511.675438422928,68.32456157707202,-46.0,46.0,290.0,244.0,-34.32076926000082,5.679230739999177,250.0,275.0,44618.8,40435.0,44552.1,101.0,-250.0,0,0.2,0.3333333333333333,0.3,250.0,0.0,25.0,275.0,-100.0,-1,0.99999960000016,call,117935.0,118085.0,0.0
79885,2022-11-01 11:05:00,117300.0,117410.0,116995.0,117045.0,113030,117438.0,117960.95238095238,118623.87640967596,117945.75,117267.62359032404,-261.21815455146134,-177.96561882659034,-83.252535724871,17.88563665427745,1506.9475770576682,1654.2237885288341,147.27621147116588,-522.9523809523816,522.9523809523816,915.9523809523816,393.0,-52.11436334572255,-12.114363345722548,255.0,415.0,67898.2,74993.0,65733.2,118.0,-255.0,0,0.0,0.0,0.2,305.0,50.0,110.0,365.0,270.0,-1,0.8360652996507215,call,116995.0,117145.0,1.0
79901,2022-11-01 11:21:00,117665.0,118300.0,117610.0,118190.0,146718,117661.0,117460.95238095238,117851.86900292654,117452.25,117052.63099707346,-39.949100992278545,-134.46413006254596,94.51502907026742,65.12253260670961,888.0422287256515,-293.72888563717424,-1181.7711143628258,200.04761904761835,200.04761904761835,-729.0476190476184,-529.0,-4.877467393290388,35.12253260670961,525.0,690.0,71279.2,89890.33333333333,54601.6,240.0,525.0,1,0.6,0.6666666666666666,0.6,55.0,580.0,635.0,110.0,-125.0,1,0.8267715233430672,sell,118240.0,118090.0,1.0
79914,2022-11-01 11:34:00,118425.0,118640.0,118365.0,118630.0,62849,118288.0,117910.71428571429,118525.36958867642,117933.5,117341.63041132358,178.32452123049006,103.05113841596079,75.27338281452927,71.60150980981602,1315.265752614272,-38.86712369286397,-1354.132876307136,377.2857142857101,377.2857142857101,-719.2857142857101,-342.0,1.6015098098160223,41.60150980981602,205.0,275.0,60445.0,71112.0,47171.1,120.0,205.0,1,0.8,1.0,0.8,60.0,265.0,215.0,10.0,-90.0,1,0.9534879286102658,sell,118680.0,118530.0,0.0
79960,2022-11-01 12:20:00,117930.0,117995.0,117770.0,117890.0,68427,118027.0,118045.0,118169.57864568387,118038.0,117906.42135431613,-19.743885869596852,-10.756322635521563,-8.987563234075289,42.134928779355505,292.39699040859705,294.1984952042985,1.8015047957014758,-18.0,18.0,155.0,137.0,-27.865071220644495,12.134928779355505,40.0,225.0,33019.8,40068.666666666664,29035.9,87.0,-40.0,0,0.4,0.3333333333333333,0.5,160.0,120.0,65.0,105.0,125.0,-1,0.24999984375009765,call,117840.0,117990.0,1.0
79971,2022-11-01 12:31:00,118500.0,118775.0,118485.0,118715.0,60062,118485.0,118162.38095238095,118556.16914853106,118169.25,117782.33085146894,125.83074457995826,56.630610265560534,69.20013431439773,72.77804833534242,859.820330069022,-115.83983496548899,-975.660165034511,322.61904761905316,322.61904761905316,-552.6190476190532,-230.0,2.778048335342419,42.77804833534242,215.0,290.0,48195.8,49099.666666666664,39654.8,120.0,215.0,1,0.6,0.6666666666666666,0.6,15.0,230.0,275.0,60.0,-220.0,1,0.7818178975207646,sell,118765.0,118615.0,1.0
79998,2022-11-01 12:58:00,118495.0,118600.0,118490.0,118595.0,18672,118540.0,118408.09523809524,118586.3371663945,118406.25,118226.1628336055,54.56643591793545,39.539293836225184,15.027142081710267,59.498119871155296,400.193703098892,11.346851549446,-388.846851549446,131.9047619047633,131.9047619047633,-186.9047619047633,-55.0,-10.501880128844704,29.498119871155296,100.0,110.0,30229.8,32280.0,27515.1,72.0,100.0,1,0.8,0.6666666666666666,0.6,5.0,105.0,105.0,5.0,10.0,1,0.9523800453523378,sell,118645.0,118495.0,1.0
