data,open,high,low,close,vol
2019-02-18 18:00:00,26.0,26.0,26.0,26.0,1575700
2019-02-19 10:00:00,26.29,26.45,26.22,26.35,2256900
2019-02-19 11:00:00,26.35,26.62,26.32,26.5,3033000
2019-02-19 12:00:00,26.5,26.62,26.47,26.58,1840200
2019-02-19 13:00:00,26.59,26.81,26.57,26.78,2708200
2019-02-19 14:00:00,26.8,26.8,26.6,26.67,2608300
2019-02-19 15:00:00,26.66,26.73,26.64,26.67,2651400
2019-02-19 16:00:00,26.68,26.74,26.66,26.72,2125100
2019-02-19 17:00:00,26.73,26.76,26.55,26.64,3450000
2019-02-19 18:00:00,26.62,26.62,26.62,26.62,1878300
2019-02-20 10:00:00,26.83,27.07,26.83,26.91,2704400
2019-02-20 11:00:00,26.91,26.97,26.54,26.66,7180400
2019-02-20 12:00:00,26.67,26.91,26.66,26.76,2850700
2019-02-20 13:00:00,26.76,26.83,26.56,26.64,2850600
2019-02-20 14:00:00,26.64,26.68,26.59,26.67,1529700
2019-02-20 15:00:00,26.66,26.73,26.59,26.67,1932500
2019-02-20 16:00:00,26.67,26.72,26.37,26.38,3268500
2019-02-20 17:00:00,26.37,26.46,26.3,26.34,2908300
2019-02-20 18:00:00,26.27,26.27,26.27,26.27,2903700
2019-02-21 10:00:00,26.54,26.6,26.33,26.42,1564900
2019-02-21 11:00:00,26.42,26.5,26.34,26.35,1616900
2019-02-21 12:00:00,26.35,26.46,26.27,26.4,2874900
2019-02-21 13:00:00,26.4,26.45,26.33,26.37,1668100
2019-02-21 14:00:00,26.37,26.41,26.29,26.37,1549400
2019-02-21 15:00:00,26.37,26.56,26.33,26.53,2110700
2019-02-21 16:00:00,26.53,26.74,26.5,26.59,5748900
2019-02-21 17:00:00,26.6,26.7,26.53,26.64,6322600
2019-02-21 18:00:00,26.77,26.77,26.77,26.77,1689400
2019-02-22 10:00:00,26.97,27.07,26.74,26.91,2960300
2019-02-22 11:00:00,26.92,27.06,26.84,27.05,2979200
2019-02-22 12:00:00,27.05,27.06,26.94,27.0,2241100
2019-02-22 13:00:00,27.0,27.06,26.98,27.01,1487000
2019-02-22 14:00:00,27.01,27.05,26.96,26.98,1078200
2019-02-22 15:00:00,26.97,26.99,26.88,26.91,1687500
2019-02-22 16:00:00,26.91,26.98,26.87,26.9,1571000
2019-02-22 17:00:00,26.9,27.01,26.87,26.96,1935100
2019-02-22 18:00:00,27.07,27.07,27.07,27.07,1519700
2019-02-25 10:00:00,27.14,27.24,26.87,27.07,1643300
2019-02-25 11:00:00,27.06,27.1,26.92,26.98,1107300
2019-02-25 12:00:00,26.97,27.01,26.85,27.0,966500
2019-02-25 13:00:00,27.0,27.01,26.89,26.97,919600
2019-02-25 14:00:00,26.96,26.98,26.82,26.85,1061400
2019-02-25 15:00:00,26.85,26.9,26.78,26.83,1032100
2019-02-25 16:00:00,26.83,26.89,26.71,26.74,2560000
2019-02-25 17:00:00,26.74,26.83,26.63,26.67,2035200
2019-02-25 18:00:00,26.64,26.64,26.64,26.64,1127900
2019-02-26 10:00:00,26.72,26.83,26.65,26.67,1088600
2019-02-26 11:00:00,26.67,26.89,26.64,26.78,1150100
2019-02-26 12:00:00,26.78,26.86,26.72,26.73,653900
2019-02-26 13:00:00,26.73,26.86,26.73,26.78,592400
2019-02-26 14:00:00,26.78,26.8,26.64,26.66,1215300
2019-02-26 15:00:00,26.66,26.8,26.66,26.77,877200
2019-02-26 16:00:00,26.77,26.82,26.73,26.78,835000
2019-02-26 17:00:00,26.78,26.83,26.75,26.82,827800
2019-02-26 18:00:00,26.74,26.74,26.74,26.74,812800
2019-02-27 10:00:00,26.73,26.85,26.64,26.73,793900
2019-02-27 11:00:00,26.73,26.73,26.5,26.55,1194500
2019-02-27 12:00:00,26.55,26.63,26.53,26.54,1047100
2019-02-27 13:00:00,26.54,26.68,26.53,26.6,1046800
2019-02-27 14:00:00,26.6,26.63,26.56,26.58,979000
2019-02-27 15:00:00,26.58,26.68,26.56,26.6,905400
2019-02-27 16:00:00,26.6,26.66,26.54,26.6,1533900
2019-02-27 17:00:00,26.6,26.62,26.5,26.53,1230900
2019-02-27 18:00:00,26.5,26.5,26.5,26.5,1401200
2019-02-28 10:00:00,26.51,26.58,26.22,26.29,1459900
2019-02-28 11:00:00,26.29,26.37,26.19,26.19,767100
2019-02-28 12:00:00,26.2,26.2,25.95,25.99,1333600
2019-02-28 13:00:00,25.99,26.06,25.95,25.99,1114900
2019-02-28 14:00:00,25.98,26.06,25.98,26.04,958100
2019-02-28 15:00:00,26.04,26.1,25.99,26.04,1115400
2019-02-28 16:00:00,26.04,26.07,25.98,26.01,1292200
2019-02-28 17:00:00,26.0,26.27,25.98,26.13,3826900
2019-02-28 18:00:00,25.98,25.98,25.98,25.98,6144400
2019-03-01 10:00:00,26.19,26.19,25.85,25.86,1793800
2019-03-01 11:00:00,25.86,26.25,25.86,26.03,1389600
2019-03-01 12:00:00,26.03,26.27,25.98,26.22,3064400
2019-03-01 13:00:00,26.22,26.23,26.01,26.1,2712400
2019-03-01 14:00:00,26.1,26.18,25.98,25.98,1556500
2019-03-01 15:00:00,25.99,25.99,25.86,25.88,867400
2019-03-01 16:00:00,25.89,25.99,25.85,25.88,897600
2019-03-01 17:00:00,25.88,25.95,25.83,25.87,1899300
2019-03-01 18:00:00,25.73,25.73,25.73,25.73,1971300
2019-03-06 13:00:00,25.95,25.98,25.73,25.78,3343600
2019-03-06 14:00:00,25.78,25.8,25.59,25.63,1209900
2019-03-06 15:00:00,25.63,25.72,25.59,25.68,1559600
2019-03-06 16:00:00,25.68,25.83,25.65,25.76,1298900
2019-03-06 17:00:00,25.76,25.95,25.73,25.81,1042400
2019-03-06 18:00:00,25.73,25.73,25.73,25.73,1184700
2019-03-07 10:00:00,25.69,25.86,25.59,25.85,1028000
2019-03-07 11:00:00,25.86,25.86,25.73,25.81,2327200
2019-03-07 12:00:00,25.81,25.98,25.8,25.92,2147800
2019-03-07 13:00:00,25.93,26.06,25.92,26.05,1930700
2019-03-07 14:00:00,26.05,26.07,25.97,25.99,1135600
2019-03-07 15:00:00,25.99,26.11,25.95,25.97,2141500
2019-03-07 16:00:00,25.97,26.08,25.95,26.0,2627700
2019-03-07 17:00:00,25.99,26.23,25.99,26.13,2882400
2019-03-07 18:00:00,26.06,26.06,26.06,26.06,2742600
2019-03-08 10:00:00,25.93,25.98,25.73,25.94,1579800
2019-03-08 11:00:00,25.95,26.2,25.81,26.01,1489300
2019-03-08 12:00:00,26.01,26.2,25.99,26.1,1404100
2019-03-08 13:00:00,26.09,26.2,26.06,26.12,823700
2019-03-08 14:00:00,26.12,26.25,26.08,26.19,993900
2019-03-08 15:00:00,26.2,26.24,26.11,26.19,1225800
2019-03-08 16:00:00,26.18,26.37,26.17,26.3,1880500
2019-03-08 17:00:00,26.3,26.49,26.14,26.33,2325500
2019-03-08 18:00:00,26.39,26.39,26.39,26.39,1842400
2019-03-11 10:00:00,26.46,26.96,26.45,26.94,2934300
2019-03-11 11:00:00,26.93,27.14,26.89,27.1,3517200
2019-03-11 12:00:00,27.1,27.1,27.03,27.1,2824900
2019-03-11 13:00:00,27.1,27.22,27.06,27.19,1979200
2019-03-11 14:00:00,27.19,27.32,27.18,27.28,1926000
2019-03-11 15:00:00,27.28,27.33,27.24,27.33,2324800
2019-03-11 16:00:00,27.32,27.35,27.28,27.28,3001000
2019-03-11 17:00:00,27.28,27.28,27.24,27.28,1473000
2019-03-12 10:00:00,27.28,27.31,27.02,27.09,1615200
2019-03-12 11:00:00,27.08,27.29,27.08,27.28,2014900
2019-03-12 12:00:00,27.3,27.3,27.1,27.14,1662000
2019-03-12 13:00:00,27.14,27.23,27.11,27.16,1076700
2019-03-12 14:00:00,27.16,27.24,27.06,27.13,2223900
2019-03-12 15:00:00,27.13,27.23,27.1,27.15,739300
2019-03-12 16:00:00,27.15,27.33,27.08,27.28,1958100
2019-03-12 17:00:00,27.33,27.33,27.28,27.31,1819100
2019-03-13 10:00:00,27.2,27.39,27.1,27.22,2448200
2019-03-13 11:00:00,27.23,27.32,27.14,27.23,1177400
2019-03-13 12:00:00,27.22,27.42,27.2,27.33,3549300
2019-03-13 13:00:00,27.33,27.36,27.22,27.24,1225300
2019-03-13 14:00:00,27.24,27.33,27.23,27.3,1597700
2019-03-13 15:00:00,27.31,27.73,27.31,27.61,5585100
2019-03-13 16:00:00,27.61,27.82,27.59,27.62,4311300
2019-03-13 17:00:00,27.63,27.63,27.59,27.59,2078100
2019-03-14 10:00:00,27.63,27.63,27.44,27.52,1373600
2019-03-14 11:00:00,27.5,27.53,27.26,27.31,2349000
2019-03-14 12:00:00,27.29,27.37,27.15,27.27,1603800
2019-03-14 13:00:00,27.26,27.33,27.16,27.22,2312800
2019-03-14 14:00:00,27.21,27.22,26.91,26.96,2177300
2019-03-14 15:00:00,26.96,27.14,26.91,27.12,3349500
2019-03-14 16:00:00,27.12,27.27,27.04,27.14,2347600
2019-03-14 17:00:00,27.19,27.2,27.13,27.14,2295500
2019-03-15 10:00:00,27.13,27.46,27.13,27.4,1605900
2019-03-15 11:00:00,27.4,27.43,27.28,27.31,1322600
2019-03-15 12:00:00,27.3,27.32,27.15,27.2,989700
2019-03-15 13:00:00,27.2,27.21,27.07,27.19,2391600
2019-03-15 14:00:00,27.18,27.26,27.17,27.24,1071500
2019-03-15 15:00:00,27.23,27.24,27.1,27.18,1542800
2019-03-15 16:00:00,27.17,27.24,26.94,27.07,2273600
2019-03-15 17:00:00,27.19,27.19,27.03,27.14,7877000
2019-03-18 10:00:00,27.24,27.31,27.14,27.25,1867300
2019-03-18 11:00:00,27.26,27.38,27.24,27.35,1263700
2019-03-18 12:00:00,27.35,27.38,27.15,27.16,1615300
2019-03-18 13:00:00,27.16,27.3,27.14,27.24,1592600
2019-03-18 14:00:00,27.26,27.38,27.24,27.3,1561800
2019-03-18 15:00:00,27.3,27.31,27.24,27.28,830400
2019-03-18 16:00:00,27.28,27.31,27.19,27.25,1068900
2019-03-18 17:00:00,27.24,27.28,27.23,27.28,1503100
2019-03-19 10:00:00,27.33,27.33,27.03,27.05,1529700
2019-03-19 11:00:00,27.05,27.12,27.0,27.04,1235700
2019-03-19 12:00:00,27.04,27.05,26.92,27.0,4532800
2019-03-19 13:00:00,27.01,27.05,26.86,26.95,10516000
2019-03-19 14:00:00,26.95,26.97,26.81,26.86,6211300
2019-03-19 15:00:00,26.85,26.9,26.74,26.85,4235700
2019-03-19 16:00:00,26.86,26.87,26.67,26.71,3768000
2019-03-19 17:00:00,26.57,26.68,26.56,26.58,2988000
2019-03-20 10:00:00,26.62,26.74,26.42,26.44,2659000
2019-03-20 11:00:00,26.45,26.48,26.27,26.32,4592400
2019-03-20 12:00:00,26.33,26.44,26.25,26.25,1221300
2019-03-20 13:00:00,26.26,26.31,26.07,26.13,1839300
2019-03-20 14:00:00,26.13,26.33,26.12,26.33,1412300
2019-03-20 15:00:00,26.33,26.59,26.31,26.35,6458700
2019-03-20 16:00:00,26.34,26.34,25.97,26.12,4684600
2019-03-20 17:00:00,25.97,26.04,25.92,25.98,2623300
2019-03-21 10:00:00,26.05,26.13,25.74,25.75,3192700
2019-03-21 11:00:00,25.74,25.79,25.38,25.54,4159800
2019-03-21 12:00:00,25.55,25.58,25.22,25.24,3960900
2019-03-21 13:00:00,25.24,25.44,25.15,25.41,3420800
2019-03-21 14:00:00,25.41,25.5,25.36,25.47,3404400
2019-03-21 15:00:00,25.45,25.69,25.43,25.59,8169700
2019-03-21 16:00:00,25.59,25.69,25.44,25.58,3988200
2019-03-21 17:00:00,25.51,25.58,25.46,25.58,1261500
2019-03-22 10:00:00,25.12,25.13,24.72,24.76,5220000
2019-03-22 11:00:00,24.74,24.99,24.72,24.94,3976700
2019-03-22 12:00:00,24.94,25.17,24.78,24.78,4794500
2019-03-22 13:00:00,24.79,24.9,24.73,24.77,2155800
2019-03-22 14:00:00,24.78,24.86,24.7,24.72,2089400
2019-03-22 15:00:00,24.72,24.95,24.63,24.75,4963200
2019-03-22 16:00:00,24.75,24.81,24.6,24.67,5161000
2019-03-22 17:00:00,24.74,24.86,24.71,24.76,2270900
2019-03-25 10:00:00,24.71,25.01,24.56,24.86,3892400
2019-03-25 11:00:00,24.86,25.17,24.82,25.08,2704300
2019-03-25 12:00:00,25.08,25.08,24.86,24.92,2218900
2019-03-25 13:00:00,24.93,25.0,24.86,24.98,1258400
2019-03-25 14:00:00,24.96,24.98,24.67,24.69,4173000
2019-03-25 15:00:00,24.68,24.89,24.59,24.88,2485000
2019-03-25 16:00:00,24.88,25.0,24.67,24.72,1905000
2019-03-25 17:00:00,24.78,24.86,24.77,24.86,1272900
2019-03-26 10:00:00,25.08,25.15,24.94,25.0,3407100
2019-03-26 11:00:00,25.0,25.0,24.71,24.94,2803300
2019-03-26 12:00:00,24.94,25.1,24.86,25.03,1501100
2019-03-26 13:00:00,25.05,25.1,24.92,24.99,1208800
2019-03-26 14:00:00,24.97,25.15,24.95,25.13,1227500
2019-03-26 15:00:00,25.13,25.16,24.95,25.0,1735600
2019-03-26 16:00:00,25.0,25.13,24.92,24.99,2608100
2019-03-26 17:00:00,25.04,25.08,25.04,25.04,1580200
2019-03-27 10:00:00,24.66,24.81,24.48,24.66,3116900
2019-03-27 11:00:00,24.65,24.68,24.27,24.38,3370300
2019-03-27 12:00:00,24.38,24.56,24.26,24.41,3153600
2019-03-27 13:00:00,24.41,24.62,24.4,24.57,2301600
2019-03-27 14:00:00,24.57,24.72,24.52,24.65,3463500
2019-03-27 15:00:00,24.64,24.65,24.29,24.34,4886900
2019-03-27 16:00:00,24.33,24.41,24.17,24.31,4954000
2019-03-27 17:00:00,24.18,24.18,23.7,23.91,2633000
2019-03-28 10:00:00,24.26,24.57,24.07,24.56,7323900
2019-03-28 11:00:00,24.57,24.97,24.56,24.88,6157500
2019-03-28 12:00:00,24.9,25.1,24.8,24.88,2928400
2019-03-28 13:00:00,24.88,25.1,24.86,25.07,3314100
2019-03-28 14:00:00,25.06,25.3,25.05,25.21,3164700
2019-03-28 15:00:00,25.22,25.32,25.14,25.23,3950000
2019-03-28 16:00:00,25.24,25.35,25.14,25.19,3140500
2019-03-28 17:00:00,25.15,25.27,25.13,25.24,1124500
2019-03-29 10:00:00,25.47,25.49,25.02,25.36,3313800
2019-03-29 11:00:00,25.36,25.42,25.11,25.15,2828300
2019-03-29 12:00:00,25.16,25.4,25.16,25.35,1970700
2019-03-29 13:00:00,25.35,25.43,25.3,25.43,2126100
2019-03-29 14:00:00,25.43,25.43,25.15,25.31,1575900
2019-03-29 15:00:00,25.31,25.39,25.27,25.36,2168100
2019-03-29 16:00:00,25.36,25.43,25.14,25.24,2967500
2019-03-29 17:00:00,25.42,25.43,25.24,25.43,2750000
2019-04-01 10:00:00,25.63,25.71,25.13,25.29,3429100
2019-04-01 11:00:00,25.3,25.58,25.22,25.45,2286700
2019-04-01 12:00:00,25.44,25.52,25.29,25.48,2057100
2019-04-01 13:00:00,25.49,25.49,25.37,25.4,1107400
2019-04-01 14:00:00,25.4,25.41,25.21,25.25,2155800
2019-04-01 15:00:00,25.24,25.33,25.15,25.23,1674700
2019-04-01 16:00:00,25.23,25.25,25.09,25.22,2889300
2019-04-01 17:00:00,25.22,25.22,25.17,25.2,1629500
2019-04-02 10:00:00,25.29,25.36,25.05,25.11,3806000
2019-04-02 11:00:00,25.11,25.14,24.92,24.94,2936100
2019-04-02 12:00:00,24.93,25.01,24.81,24.89,1823600
2019-04-02 13:00:00,24.9,24.95,24.74,24.82,1335400
2019-04-02 14:00:00,24.81,24.98,24.81,24.86,1459200
2019-04-02 15:00:00,24.86,24.94,24.81,24.86,1703100
2019-04-02 16:00:00,24.86,24.91,24.76,24.9,1939400
2019-04-02 17:00:00,24.81,24.86,24.73,24.86,1230600
2019-04-03 10:00:00,25.13,25.18,24.92,24.98,2657300
2019-04-03 11:00:00,24.98,25.18,24.94,25.05,1739600
2019-04-03 12:00:00,25.05,25.15,24.95,25.14,2159400
2019-04-03 13:00:00,25.13,25.22,25.07,25.09,1033400
2019-04-03 14:00:00,25.09,25.24,25.05,25.08,1662000
2019-04-03 15:00:00,25.07,25.08,24.74,24.74,4150900
2019-04-03 16:00:00,24.74,24.76,24.47,24.54,4796100
2019-04-03 17:00:00,24.58,24.64,24.57,24.59,1269500
2019-04-04 10:00:00,24.86,24.86,24.53,24.79,2338500
2019-04-04 11:00:00,24.79,25.13,24.74,24.98,2389700
2019-04-04 12:00:00,25.0,25.06,24.84,25.02,3965700
2019-04-04 13:00:00,25.02,25.09,24.94,25.03,1206800
2019-04-04 14:00:00,25.03,25.16,24.98,25.13,1448800
2019-04-04 15:00:00,25.13,25.16,25.07,25.13,1394300
2019-04-04 16:00:00,25.12,25.16,24.94,25.06,3379300
2019-04-04 17:00:00,24.96,25.11,24.96,24.99,1930500
2019-04-05 10:00:00,25.09,25.16,24.95,25.13,1709000
2019-04-05 11:00:00,25.14,25.54,25.13,25.45,2364900
2019-04-05 12:00:00,25.45,25.57,25.39,25.44,1499100
2019-04-05 13:00:00,25.44,25.51,25.41,25.46,1536200
2019-04-05 14:00:00,25.47,25.58,25.46,25.53,2018600
2019-04-05 15:00:00,25.52,25.6,25.44,25.45,2856900
2019-04-05 16:00:00,25.45,25.59,25.43,25.55,2625600
2019-04-05 17:00:00,25.51,25.57,25.51,25.54,1247900
2019-04-08 10:00:00,25.55,25.6,25.21,25.29,1436600
2019-04-08 11:00:00,25.28,25.47,25.26,25.34,1526900
2019-04-08 12:00:00,25.36,25.43,25.21,25.26,1097100
2019-04-08 13:00:00,25.26,25.38,25.22,25.32,789200
2019-04-08 14:00:00,25.3,25.35,25.24,25.35,1208600
2019-04-08 15:00:00,25.34,25.39,25.24,25.28,1108000
2019-04-08 16:00:00,25.27,25.35,25.25,25.32,1087000
2019-04-08 17:00:00,25.36,25.37,25.29,25.29,937200
2019-04-09 10:00:00,25.25,25.27,25.03,25.05,1286200
2019-04-09 11:00:00,25.05,25.11,24.95,25.0,1447900
2019-04-09 12:00:00,25.0,25.02,24.89,24.93,1628900
2019-04-09 13:00:00,24.93,24.99,24.86,24.92,1286400
2019-04-09 14:00:00,24.91,24.95,24.81,24.95,1496600
2019-04-09 15:00:00,24.95,25.16,24.92,25.11,2183200
2019-04-09 16:00:00,25.11,25.19,25.1,25.17,2323500
2019-04-09 17:00:00,25.21,25.21,25.11,25.13,1732400
2019-04-10 10:00:00,25.41,25.43,25.04,25.08,4542500
2019-04-10 11:00:00,25.08,25.18,24.98,25.03,3572800
2019-04-10 12:00:00,25.03,25.13,24.98,25.02,2908000
2019-04-10 13:00:00,25.02,25.07,24.96,24.99,862500
2019-04-10 14:00:00,24.98,25.13,24.95,25.08,4172500
2019-04-10 15:00:00,25.08,25.13,24.95,25.13,4750500
2019-04-10 16:00:00,25.13,25.17,25.08,25.08,3556900
2019-04-10 17:00:00,25.16,25.16,25.08,25.13,1950200
2019-04-11 10:00:00,24.96,25.13,24.86,24.88,1896400
2019-04-11 11:00:00,24.88,24.92,24.7,24.8,1824200
2019-04-11 12:00:00,24.79,24.79,24.42,24.57,1682400
2019-04-11 13:00:00,24.57,24.67,24.52,24.65,875100
2019-04-11 14:00:00,24.64,24.71,24.53,24.61,942300
2019-04-11 15:00:00,24.59,24.62,24.57,24.62,826700
2019-04-11 16:00:00,24.62,24.76,24.57,24.68,3111900
2019-04-11 17:00:00,24.57,24.66,24.57,24.64,932400
2019-04-12 10:00:00,24.35,24.96,24.3,24.89,4516700
2019-04-12 11:00:00,24.89,24.91,24.53,24.7,3681800
2019-04-12 12:00:00,24.7,24.75,24.4,24.43,1717900
2019-04-12 13:00:00,24.43,24.45,24.07,24.17,5055900
2019-04-12 14:00:00,24.18,24.44,24.17,24.42,3582300
2019-04-12 15:00:00,24.41,24.52,24.22,24.27,3485300
2019-04-12 16:00:00,24.26,24.3,24.14,24.16,5262900
2019-04-12 17:00:00,24.3,24.4,24.3,24.33,1677700
2019-04-15 10:00:00,24.53,24.59,24.3,24.53,2327600
2019-04-15 11:00:00,24.54,24.57,24.28,24.33,1748600
2019-04-15 12:00:00,24.33,24.41,24.3,24.35,1411400
2019-04-15 13:00:00,24.35,24.41,24.29,24.33,1736500
2019-04-15 14:00:00,24.34,24.34,24.1,24.16,1757500
2019-04-15 15:00:00,24.17,24.35,24.07,24.27,2106400
2019-04-15 16:00:00,24.27,24.29,24.12,24.21,2189900
2019-04-15 17:00:00,24.29,24.29,24.15,24.19,3249800
2019-04-16 10:00:00,24.13,24.41,24.13,24.23,1614200
2019-04-16 11:00:00,24.23,24.7,24.18,24.46,3014300
2019-04-16 12:00:00,24.46,24.54,24.29,24.39,2992900
2019-04-16 13:00:00,24.36,24.44,24.28,24.37,1709500
2019-04-16 14:00:00,24.38,24.42,24.32,24.4,1926900
2019-04-16 15:00:00,24.4,24.41,24.28,24.31,2598600
2019-04-16 16:00:00,24.3,24.41,24.16,24.2,1873400
2019-04-16 17:00:00,24.27,24.35,24.26,24.32,1262900
2019-04-17 10:00:00,24.35,24.49,24.09,24.16,12048300
2019-04-17 11:00:00,24.16,24.16,23.98,24.03,3923300
2019-04-17 12:00:00,24.03,24.07,23.59,23.68,4200500
2019-04-17 13:00:00,23.68,23.75,23.66,23.72,2984800
2019-04-17 14:00:00,23.72,23.94,23.7,23.87,3729500
2019-04-17 15:00:00,23.87,23.88,23.68,23.75,3469800
2019-04-17 16:00:00,23.75,24.02,23.7,24.02,4467700
2019-04-17 17:00:00,23.89,23.98,23.89,23.92,1155300
2019-04-18 10:00:00,23.99,24.04,23.72,23.88,2904500
2019-04-18 11:00:00,23.89,23.97,23.69,23.96,1726400
2019-04-18 12:00:00,23.94,24.18,23.94,24.16,1639900
2019-04-18 13:00:00,24.15,24.17,24.07,24.12,427000
2019-04-18 14:00:00,24.12,24.29,24.07,24.2,2206900
2019-04-18 15:00:00,24.19,24.49,24.16,24.31,2365200
2019-04-18 16:00:00,24.3,24.4,24.21,24.3,2631400
2019-04-18 17:00:00,24.22,24.29,24.19,24.19,3614000
2019-04-22 10:00:00,24.17,24.32,23.96,24.12,1539200
2019-04-22 11:00:00,24.11,24.18,23.89,23.96,1429800
2019-04-22 12:00:00,23.96,24.0,23.89,23.95,651900
2019-04-22 13:00:00,23.95,24.29,23.94,24.28,1617700
2019-04-22 14:00:00,24.29,24.45,24.28,24.41,1749200
2019-04-22 15:00:00,24.41,24.41,24.22,24.25,1146700
2019-04-22 16:00:00,24.25,24.27,24.08,24.21,1328400
2019-04-22 17:00:00,24.15,24.21,24.07,24.08,600300
2019-04-23 10:00:00,24.35,24.62,24.35,24.54,2187100
2019-04-23 11:00:00,24.54,24.59,24.37,24.47,1707900
2019-04-23 12:00:00,24.47,24.65,24.42,24.57,2323700
2019-04-23 13:00:00,24.57,24.65,24.54,24.62,1013300
2019-04-23 14:00:00,24.63,24.67,24.53,24.57,1178300
2019-04-23 15:00:00,24.57,24.69,24.5,24.65,1501400
2019-04-23 16:00:00,24.66,24.66,24.41,24.45,2232100
2019-04-23 17:00:00,24.46,24.57,24.46,24.55,1257600
2019-04-24 10:00:00,24.48,24.53,24.17,24.27,2021400
2019-04-24 11:00:00,24.27,24.32,24.1,24.27,2038200
2019-04-24 12:00:00,24.27,24.4,24.15,24.33,2480800
2019-04-24 13:00:00,24.33,24.41,24.21,24.26,996700
2019-04-24 14:00:00,24.26,24.37,24.21,24.35,1346200
2019-04-24 15:00:00,24.35,24.41,24.28,24.31,1275200
2019-04-24 16:00:00,24.32,24.51,24.32,24.41,1445000
2019-04-24 17:00:00,24.5,24.53,24.43,24.46,3043500
2019-04-25 10:00:00,24.36,24.56,24.07,24.16,3605700
2019-04-25 11:00:00,24.16,24.65,24.16,24.57,2721000
2019-04-25 12:00:00,24.57,24.8,24.56,24.71,3012500
2019-04-25 13:00:00,24.72,24.86,24.64,24.81,1843700
2019-04-25 14:00:00,24.81,24.85,24.74,24.8,1604800
2019-04-25 15:00:00,24.8,24.95,24.74,24.86,1602400
2019-04-25 16:00:00,24.86,24.92,24.77,24.78,2092100
2019-04-25 17:00:00,24.89,24.93,24.85,24.9,3106700
2019-04-26 10:00:00,24.95,24.95,24.66,24.72,1181000
2019-04-26 11:00:00,24.73,24.99,24.68,24.83,1299800
