,Data,Open,High,Low,Close,Vol,MA_5,MA_21,SAR,BB_up,BB_mid,BB_low,OBV,macd,macdsignal,macdhist,fastk,fastd,RSI,MOM,TRIX,CCI,ADX,MA_9,MA_100,acao,resultado_valor,resultado_binario
105,2017-12-18 16:45:00,73925.0,74100.0,73910.0,74045.0,32706,73965.0,73968.80952380953,72605.0,74251.75834866475,73982.25,73712.74165133525,196977.0,80.38787186749687,108.28494101960588,-27.89706915210901,65.0,41.66666666666666,57.17340388703387,-95.0,0.01880191653484964,-28.093645484963325,34.56486616034449,73988.65676010543,73415.15,sell,135.0,1
116,2017-12-19 10:15:00,73585.0,73700.0,73585.0,73670.0,37436,73580.0,73839.28571428571,72605.0,74203.65551626775,73825.0,73446.34448373225,297493.0,-68.7289903206838,-27.96395913207757,-40.76503118860624,87.5,55.972204363293464,45.348507600081916,-145.0,0.013442050187206789,-40.65656565656386,25.09614107468173,73666.31966092365,73491.9,sell,350.0,1
128,2017-12-19 13:15:00,73415.0,73435.0,73045.0,73080.0,68520,73274.0,73475.71428571429,72605.0,73850.05084550254,73459.75,73069.44915449746,45905.0,-144.90900305578543,-126.117966019122,-18.79103703666344,8.641975308641976,42.959089808763,32.489229317384904,-305.0,0.0009908335909747379,-134.50887306431093,29.750016733029558,73312.95797656111,73522.7,call,55.0,1
145,2017-12-19 17:30:00,73545.0,73560.0,73240.0,73255.0,45715,73380.0,73207.14285714286,72605.0,73518.29770553655,73204.5,72890.70229446345,142866.0,-19.05551494852989,-68.64553800303447,49.590023054504584,4.285714285714286,46.77099272035978,47.95776051839874,270.0,-0.011462407234541505,72.16049382716359,22.114762464236403,73308.82208410304,73538.9,call,275.0,1
163,2017-12-20 12:45:00,73815.0,74035.0,73740.0,73995.0,66980,73915.0,73660.23809523809,72605.0,74127.1657999001,73678.5,73229.8342000999,385467.0,150.9317025460623,129.31405935167203,21.61764319439027,77.27272727272728,47.14977775241428,65.10651570080668,240.0,4.724042845793974e-05,80.11088011087439,35.607858365236964,73855.02256129263,73590.45,sell,-30.0,0
182,2017-12-20 17:30:00,73875.0,74000.0,73845.0,73955.0,30111,73890.0,73974.76190476191,72605.0,74134.19223321122,73982.75,73831.30776678878,363062.0,42.54237522029143,76.70925057281971,-34.16687535252828,69.04761904761905,37.777777777777764,54.78784078400069,-95.0,0.012426269244092403,-51.11896348644374,31.4320736568657,73929.55865921879,73681.45,sell,-355.0,0
197,2017-12-21 12:00:00,73940.0,74175.0,73930.0,74100.0,63125,73999.0,74066.42857142857,72605.0,74380.64264983906,74073.0,73765.35735016094,401876.0,27.54010884591844,58.369052045917826,-30.828943199999387,77.38095238095238,51.695750764073715,53.088382441544645,-205.0,0.014203438361248821,-42.34647112740877,32.778643855143926,74060.84151435475,73712.15,sell,-565.0,0
231,2017-12-22 11:15:00,75325.0,75735.0,75290.0,75680.0,68643,75342.0,75520.47619047618,72605.0,75849.7686283949,75514.25,75178.7313716051,1114890.0,102.42073442306719,160.33504823667,-57.9143138136028,90.7563025210084,44.40033809396795,61.18967628419099,-190.0,0.040116950305835175,30.26086956520899,32.82729089627291,75439.15142408645,74310.75,sell,105.0,1
246,2017-12-22 15:00:00,75590.0,75665.0,75570.0,75645.0,14669,75630.0,75541.90476190476,72605.0,75855.92810675937,75543.0,75230.07189324063,1037556.0,78.75146529909398,94.40522889227915,-15.653763593185175,50.0,34.25331621737263,56.02028667153378,70.0,0.03232289910526376,10.44176706829278,32.76803183092461,75620.13667928164,74668.8,sell,-20.0,0
262,2017-12-26 09:45:00,75745.0,75865.0,75715.0,75775.0,28180,75803.0,75715.71428571429,72605.0,75920.14500980779,75717.5,75514.85499019221,1172310.0,65.98906189425907,74.42629323395178,-8.437231339692715,31.645569620253163,23.62869198312228,54.424145887966034,90.0,0.023800234852533464,56.85761364739122,31.242484577699,75767.10674410831,74993.3,sell,0.0,0
274,2017-12-26 12:45:00,76015.0,76155.0,75940.0,76150.0,54690,76183.0,75897.61904761905,72605.0,76320.63884053442,75905.75,75490.86115946558,1221065.0,134.54729767344543,109.3105203640844,25.23677730936103,51.851851851851855,43.770163620066576,60.583418457777405,400.0,0.02032865386734084,46.15958240119574,27.242288079908434,76066.82964406666,75228.25,sell,70.0,1
280,2017-12-26 14:15:00,76075.0,76240.0,76040.0,76195.0,24758,76185.0,76000.47619047618,72605.0,76449.6607872813,76015.0,75580.3392127187,1173073.0,122.5559425491956,124.90320425628468,-2.347261707089075,66.0,53.66666666666659,58.96801954039137,-110.0,0.0206801826575731,26.14107883816547,22.382993301445243,76143.71771021422,75362.85,sell,-20.0,0
303,2017-12-27 10:45:00,76550.0,76700.0,76540.0,76620.0,35318,76610.0,76435.71428571429,72605.0,76747.28743527221,76446.75,76146.21256472779,1426948.0,135.25597320515953,135.77485949090925,-0.5188862857497156,40.38461538461538,34.61538461538451,65.8544084989298,155.0,0.021866749462517987,65.2994555353879,40.20336012581821,76570.44318444867,75861.1,sell,-170.0,0
333,2017-12-28 09:00:00,76880.0,76920.0,76790.0,76860.0,31924,76686.0,76767.38095238095,72605.0,76967.26220605936,76765.0,76562.73779394064,1406269.0,8.662174318029429,23.932945396087447,-15.270771078058019,81.25,50.89285714285703,61.57413761665025,55.0,0.018324168177841216,128.68757259002845,27.719583985023,76708.71545045274,76242.45,sell,-35.0,0
360,2017-12-28 15:45:00,76825.0,76900.0,76825.0,76850.0,21261,76818.0,76878.09523809524,72605.0,76981.54861640307,76876.75,76771.95138359693,1483488.0,1.8668912302237004,16.39851282907116,-14.531621598847458,69.6969696969697,60.0288600288599,51.302764820356884,-100.0,0.01035332576488912,-11.97348727819616,22.900050809394237,76836.8748645867,76562.55,sell,-5.0,0
367,2017-12-28 17:30:00,76840.0,76865.0,76810.0,76845.0,13928,76849.0,76858.57142857143,72605.0,76953.42343948208,76855.5,76757.57656051792,1477308.0,1.6117761565983528,4.527707549132826,-2.915931392534473,38.888888888888886,48.947811447811326,50.577362154797676,15.0,0.008024527715089214,39.52095808381909,17.4934053821597,76842.80528360177,76640.25,sell,-130.0,0
